병환	a disease, an illness
회복되다	to get better, to recover
가정	a supposition, an assumption
검증하다	to verify
감성	sensitivity
숨을 돌리다	to catch one's breath
지도자	a leader, a guide
접근하다	to approach, to access
무더위	a heat wave
흐름	flow, stream
오기를 부리다	to refuse to give in/up
고집을 부리다	to be stubborn
애로	difficulty
육아	childrearing, infant care
병행하다	to combine, to run parallel, to do two things at once
털어놓다	to confess, to disclose
난관	difficulty, an impasse, a dead end
골머리	head
쓰레기 처리장	a garbage dump
부지	a site, a plot of land
추상적	abstract
공사	construction
방안	a way, a measure, a plan
