투자자	an investor
임대	lease, rent
하락하다	to drop, to depreciate
이익률	rate of return, profit rate
고난	hardship, trouble, adversity
규칙적	regular
섭취	intake, ingestion
영향	influence, effect, impact (on)
끼치다	to cause
물질대사	metabolism
성능	performance, capacity, efficiency
심혈을 기울이다	to devote oneself (to)
정성	sincerity, devotion, one's heart
좌중	a crowd, company, everyone present
제압	oppression, domination, control
뒤죽박죽	a mishmash, a hodgepodge
엉망	a wreck, a mess
난장판	chaos, disorder, a mess
한국화	a Korean painting
살리다	to save, to spare
공란	a blank, an empty space, a margin
공백	a gap, a void, a blank space
신형차	a new-model car
생동감	liveliness, vividness
현상	a phenomenon
주되다	to be main, chief, principal
온실	a greenhouse
꼽다	to count, to pin (as), to point out
분석	an analysis
계획적	premeditated, planned, deliberate
범행	a crime, an offense
우연적	random, coincidental
끈끈하다	to be sticky, adhesive
친밀감	a sense of closeness/intimacy
연대감	a sense of solidarity/kinship
투표일	a voting day
당	a (political) party
선거	an election
선전	propaganda; a good fight
