바람을 쐬다	to get some fresh air
맞아떨어지다	to balance, to match
시책	a policy
국민	a nation, a people, a public
국가	a nation, a country, a state
최우선	top priority
감소	a decrease, a decline, a drop
거론되다	to be mentioned, to be referred to
지체	a delay, a hold-up
기술적	descriptive, technical
부딪히다	to be bumped into, to run into
방해	a disturbance, an interruption 
공사장	a construction site
소음	noise, a ratchet
뒷산	a mountain (behind something)
산나물	wild edible greens
정체	stagnation, congestion, gridlock
밀봉	sealing
세균	a germ, a virus, bacteria
교섭	a negotiation, bargaining
조상	an ancestor
