당장	immediately, on the spot
자원	volunteering,resources
건설	construction
오염	contamination, pollution
신입	newly entered
교환	exchange
구매	buy
도전	challenge; defiance
소재	theme
고생	hardship, suffering
성장	growth, development
인생	Life
접수	registration
주인공	main character
설득	Persuasion
고통	pain; suffering
근무	work,duty
여유	composure, relaxation
파괴	Destruction, demolition
인물	a figure or character
지식	knowledge
참가자	participant
관객	audience, onlookers, spectators
환영	welcoming
운영	operate
일자리	A job, position
감상	appreciation, enjoyment
고속	high speed
긍정	yes, positive
정기	regularly scheduled
