소화	Digestion
예술	Art, an art
호기심	curiousity
화면	a screen or canvas
큰일	An important affair, a serious matter
통화	a telephone conversation
외면	disregard
생산	production, manufacture
가입	join, become a member
두려움	fear;dread;horror;terror;
어린아이	A youngster, a child
한국인	Korean (person)
특정	particular, specific, certain
위기	crisis, emergency, critical situation
응답	a response, and answer
이전	previously, in the past
절반	a half
조언	advice
자체	oneself, itself
간접	Indirectness
자동	automatic
업체	(business) enterprise
부작용	a side effect
양심	(a) conscience
상품권	a gift certificate
기억력	memory power, ability to remember
소극적	inactive, passive
공동	public, communal
날개	wing
영양	Nutrition
