기술	technology, skill, technique
활용	utilization
기회	opportunity, chance
역할	role, function
적극적	positively
차이	difference
마련	liable to, preperation
최근	lately, recently
모집	recruitment
확인	confirmation
기능	function
상대방	the other person
기대	expectation, anticipation
이해	understanding
예전	as usual, before
일반	ordinary
주장	insistence; assertion
기업	enterprise, company
조건	condition
구입	purchase
영향	influence, affect
치료	treatment, cure
판매	sale
유지	keeping, maintaining
희망	Hope, wish
이후	afterwords, after
작품	master piece
인간	human being, humanity, people
삶	life
정리	put in order, organize
