이어지다	to be connected, to continue, to be joined together, be linked (not 연.., 잇.., 접..)
비판하다	to criticize, to judge, to comment on (not ..평..)
소설	a novel
소재	subject material, substance; subject matter (not 화.., 주..)
속	inside (not 안, 내)
승객	a passenger
시	poetry, a poem
시절	the time, an occasion, a chance; the time of year, season
싸다	to pack, wrap (not 포...)
쓰레기	garbage, waste
아까	a while ago, some time ago; a moment ago
앞장서다	to lead, head, forerun, be the first to do, take the initiative
약하다	to be weak
에너지	energy
연기하다	to postpone, delay, defer (not 늦..., 미...)
예상하다	to predict, expect, anticipate (not 기...)
온도	temperature (degree) (not 기...)
원고	a manuscript, a draft, a copy; an accuser, a complainant
위	rank, position, grade
의심하다	To be suspicious, to doubt, to be distrustful of, to question, to mistrust
인물	a person, an individual, a figure or character
인생	human life
인식하다	to recognize, understand, appreciate (not 깨..., ...정..., 감...)
자유롭다	to be free, unrestricted
절약하다	to economize, to save on (not 아...)
정책	a policy, a political measure (not 제...)
종류	a kind, variety, sort (not 가...)
종종	occasionally, now and then, sometimes (not 가.., 때..)
주장하다	to argue, contend, to assert or insist (not 다..., 토...)
주제	topic, the theme, the main subject matter (not 화...)
소식	news, information
소문	a rumor
중심	the center, the focus, the core, the main
지나다	to pass (by, through); to elapse (not 통...)
번지다	to spread, to grow, to scale, to become serious; to be smudged
생산하다	to produce, manufacture; give birth to (not 제.., 낳.., 출..)
소비하다	to consume, spend, expend
표정	facial expression (not 얼...)
얼굴빛	facial expression; complexion (not 표...)
