세기	a century
소화	digestion
손쉽다	to be easy, simple, light (e.g. light task) (not 쉽...)
근무	work, duty (not 일)
수분	water, moisture
수출	export
시급하다	to be pressing, urgent (not 급...)
시키다	to order, make someone do something, command
신고하다	to report, to state, declare (not 보...)
신분증	identification
심사	judgment, examination, inspection, screening (not 검.., 점...)
언어	language
여부	whether or not, yes or no
열람	reading, inspection, perusal
열쇠	a key
열차	a train (not 기...)
영수증	a receipt, a voucher, an acknowledgment
내놓다	to expose, reveal; publish, pull out, bring out; put up for sale
올라가다	to go up, to climb, ascend (not 상....)
욕심	greed, selfishness, self-interest
용도	a use, service; an expense
음료수	a beverage
의무	a duty, an obligation, a responsibility (not 책...)
의사소통	communication, mutual understanding
이성	the opposite sex
넘어지다	to fall over, topple over, stumble (not 쓰...)
쓰러지다	fall down, collapse, fall over (not 넘...)
연봉	an annual income; a salary
복지	welfare
미끄러지다	to slip, slide, glide; to fail an exam
자극하다	to stimulate, incite, excite
휴가 일수	vacation days
보너스	bonus
자동	automatic action, automatism
잠시	a moment (not 순.., ..깐)
자율	self-control, autonomy, self-regulation
장난	a joke, a prank (not 농...)
내다	to make, emit (e.g. sound, light) build; to pay (money); to submit
달리	differently, in a different way
마찬가지로	likewise, in the same manner, similarly
분명하다	to be obvious, clear, evident (not 뚜.., 선.., 명..)
확실하다	to be sure, certain, positive, authentic, definite (not 분.., 뚜.., 선.., 명..)
