인사를 가다	to go and greet
인사를 시키다	to make someone greet someone else
인사를 받다	to receive a greeting
인사를 나누다	to exchange greetings
인사를 드리다	to greet
이사를 오다	to move in
그렇지 않아도	as a matter of fact
궁금하다	to be curious
이사 떡	rice cake as a moving-in present
맛을 보다	to taste
이야기를 나누다	to talk (with)
위로하다	to console/ to comfort
청하다	to ask/ request
무표정하다	to be expressionless
고려하다	to consider
앞머리	bangs (fringe)
찌르다	to prick/ poke (with a needle or finger)
염색	dye hair
짙다	dark/ deep/ rich/
어두운 색갈	dark colour
갈색	brown
염색하다	to dye
머리를 다듬다	to trim hair
드라이클리닝하다	to dryclean
굽을 갈다	to fix a shoe heel
다림질을 하다	to iron
파마를 하다	to get a perm
표정	facial expression
머리 하다	to do your hair (cut/ perm/ trim)
미용실	beauty shop
세탁소	laundromat/ dry cleaners
옷을 줄이다	to have your clothes altered
구둣방	shoe store
구두를 닦다	to shine shoes
다듬다	to trim/to prune (hair/tree/bush)
펴다	unfold/ straighten/ unroll/ release
말리다	to dry (something)
미용사	hair stylist/ beautician
드라이	hair dryer
두께	thickness
덮다	to cover
세탁물	the laundry
구하다	to look for/ seek
장소	place/ location
초보자	a beginner (inexperienced)
경험	an experience
근무 시간	working hours
다들	everyone
경력자	experienced worker
이력서	a resume
