시간제	part-time/ hourly-paid worker
보수	payment/ wage
자기 소개서	self introduction in written form
시간당	per hour
배달	delivery
업무	business/ service/ duties
능통자	a professional
면접	an interview
판매	sale/ selling
지원하다	to apply
구인 광고	help-wanted advert
주유	refueling/ gas (petrol)
매점	a store
원래	originally/ basically
본래	originally/ primarily
선천적으로	innate/ inherent
곱슬	curly/ wavy
걸리다	take(time)/ catch(cold)/ to get through (phone call)
수리	repair
들다	to cost/ join/ eat (hon.)/ carry/ lift
구입하다	to buy
맡기다	to entrust
고장나다	out of order/ broken
이상이 있다	to be abnormal
사용 설명서를 보다	to look at a manual (directions manual)
문의하다	to inquire
서비스 센터에 맡기다	to leave/ drop off at service center
수리를 요청하다	to request a repair (house call)
서비스 센터에 찾다	to pick up item from a service center
수리를 받다	to refit
수리를 하다	to repair
배터리	battery
충전하다	to charge (with electricity)
자판	keyboard
온도	temperature
젖다	to get wet
뾰족하다	to be sharp
액정	a liquid cyrstal
작동	operating
돌리다	to give out
팥	red beans
시루	earthenware steamer
조리 기구	cooking kit
예를 들어	for example
예를 들면	e.g. / for instance
요청하다	to request
음량	music/sound volume
아랫사람	one's junior
윗사람	one's senior/ superior
악수	handshake
