생선류	fish
곡류	grain
유기농 식품	organic foods
인스턴트식품	instant food
발효 식품	fermented food
탄산음료	soda
식습관	eating habits
화학조미료	monosodium glutamate
꿀	honey
씹다	to chew
골고루	equally
장수	longevity
비결	secret/ key
정하다	to decide
식사량	amount of food
중요하다	to be important
과식	over-eating
소식	news/ information
편식	an unbalanced diet
채식	vegetarian diet
육식	a meat diet
규칙적이다	be regular
불규칙하다	to be irregular/ unsteady
민간요법	a folk remedy
양치하다	to brush teeth
미지근하다	to be lukewarm
효과	effect
눕다	to lie down
올리다	to raise up
긴장	tension
입구	entrance
회복하다	to recover
기운	energy
영양	nutrition
수면	sleep
충분 	sufficient
취하다	take or prefer, pick
다른 한편으로	on the other hand
발달	develop
질병	disease
균형	balance, equilibrium
