뮤지컬	a musical
감동적이다	to be emotionally touching
무대	stage
의상	costume
말할 것도 없다	no doubt
공연	a public performance
자막	captions/ subtitles
성공	success
작품명	title (of movie or art)
관람 연령	age restriction for watching (something)
공연 장소	performance venue
공연 일시	performance date/time...
작품 해설	synopsis
비슷하다	to be similar
특징	a special feature/ characteristic
화려하다	to be fancy/ showy
관객	audience
알리다	to inform
좌석	a seat
인터넷 사이트	Internet site
가입하다	to join
선택하다	to choose
알려 주다	to inform
간단하다	to be simple
예매하다	buy in advance (tickets)
예약하다	to make a reservation
확인하다	to check
취소하다	to cancel
환불 받다	to get a refund
변경하다	to change/ modify
인원수	number of persons
매진되다	to be sold out
폰뱅킹	phone banking
당일	the appointed day
목소리	a voice
연기	acting
훌륭하다	outstanding/ magnificent
대사	script/ dialogue
인상적이다	impressive
감동적이다	emotionally touching
우울하다	depressed
환상적이다	fantastic
심각하다	serious or grave
신나다	excited
백문이 불여일걸	seeing is believing
평범하다	common
영원히	forever
제목	a subject/ theme
화제	a topic
비교하다	to compare
