패션쇼	fashion show
평	a review/ an unit of area used in Korea
실력	real ability/ capability
인정을 받다	to receive recognition
겨우	barely
유명하다	to be famous
성공하다	to succeed/ be successful
인기가 좋다	to be popular
능력이 뛰어나다	to have superior ability
남녀	men and women
노소	old and young
화가	painter/ artist
칭찬하다	to praise/ to speak highly of/ admire
모습	appearance/ figure
억양	intonation
사투리	Dialect
끊임없다	to be endless
외롭다	to be lonely
충분하다	to be enough/ be sufficient
무척	extremely
죽	porridge
마치	as if
성격이 급하다	be quick tempered
고집이 세다	to be stubborn
정이 많다	to be warm-hearted
말이 많다	talkative
냉정하다	to be calm or cool headed
무뚝뚝하다	to be blunt/ tell it how it is
게으르다	to be lazy
꼼꼼하다	to be careful/ meticulous
행동	behaviour/ conduct
불쌍하다	to be poor/ to be pitiful
마음만은 따뜻하다	to be kind
답답하다	to be frustrated/ stuffy/ helpless
(김치를) 담그다	to make kimchi
사생활	private life/ privacy
낯설다	to be unfamiliar
말이다	Do you mean?
돈을 벌다	to earn money
기부하다	to donate
놀랍다	to be surprising
자신	oneself/ self-confidence
대단하다	to be wonderful
너 그 소식 들었니?	Did you hear the news?
저축하다	save money
낭비하다	to waste
절약하다	to be frugal/ sparing
투자하다	to invest
