,0,1
0,패션쇼,fashion show
1,평,a review/ an unit of area used in Korea
2,실력,real ability/ capability
3,인정을 받다,to receive recognition
4,겨우,barely
5,유명하다,to be famous
6,성공하다,to succeed/ be successful
7,인기가 좋다,to be popular
8,능력이 뛰어나다,to have superior ability
9,남녀,men and women
10,노소,old and young
11,화가,painter/ artist
12,칭찬하다,to praise/ to speak highly of/ admire
13,모습,appearance/ figure
14,억양,intonation
15,사투리,Dialect
16,끊임없다,to be endless
17,외롭다,to be lonely
18,충분하다,to be enough/ be sufficient
19,무척,extremely
20,죽,porridge
21,마치,as if
22,성격이 급하다,be quick tempered
23,고집이 세다,to be stubborn
24,정이 많다,to be warm-hearted
25,말이 많다,talkative
26,냉정하다,to be calm or cool headed
27,무뚝뚝하다,to be blunt/ tell it how it is
28,게으르다,to be lazy
29,꼼꼼하다,to be careful/ meticulous
30,행동,behaviour/ conduct
31,불쌍하다,to be poor/ to be pitiful
32,마음만은 따뜻하다,to be kind
33,답답하다,to be frustrated/ stuffy/ helpless
34,(김치를) 담그다,to make kimchi
35,사생활,private life/ privacy
36,낯설다,to be unfamiliar
37,말이다,Do you mean?
38,돈을 벌다,to earn money
39,기부하다,to donate
40,놀랍다,to be surprising
41,자신,oneself/ self-confidence
42,대단하다,to be wonderful
43,너 그 소식 들었니?,Did you hear the news?
44,저축하다,save money
45,낭비하다,to waste
46,절약하다,to be frugal/ sparing
47,투자하다,to invest
0,마구,recklessly/ carelessly
1,아끼다,prize/ value
2,이익,profit/ gain
3,돈을 얻다,to get/obtain money
4,주식,stock/ share
5,고아원,orphanage
6,미담,a praiseworthy anecdote
7,재산,a fortune
8,사회,community (society)
9,마음이 넓다,to be generous/ to have a big heart
10,배려하다,to be considerate towards someone/ to take care of
11,존경하다,to respect
12,흐뭇하다,to be pleasing/ satisfying
13,교육자,educator
14,정치인,politician
15,언론인,journalist
16,연예인,entertainer/ performer
17,사업가,Businessman
18,재주,talent/ skills
19,지도력,leadership ability
20,대표하다,to represent
21,경영하다,to manage/ conduct/ operate/ run/ plan
22,경제,Economics
23,언론,speech/ writing/ discussion
24,연예,entertainment/ performance
25,장학생,a scholarship student
26,세계적이다,to be global
27,지식,knowledge
28,인물 사람,a person/ a man/ a character
29,업적,achievements/ feat
30,발명,invention
31,지도자,a leader
0,원래,originally/ primarily
1,동화,nursery story/ fairy tale
2,대청소,a general (house) cleaning
3,연령,age
4,고개,back of neck/ head
5,감동하다,to be impressed
6,건조기,a dryer (laundry)
7,교환하다,to exchange
8,회원,membership/a member
9,후회하다,to regret
10,미리,in advance/ beforehand
11,약속을 지키다,keep/ honor a promise
12,약속을 어기다,to flake on an appointment
13,약속을 미루다,to postpone an appointment
14,그게 좋겠군요,that's a good idea
15,세수하다,to wash face
16,예정,previous arrangement
17,당일,that day/ appointed day
18,서두르다,to hurry/ rush
19,물가,price
20,멋지다,fabulous/ splendid/ stylish
21,알려 줘서 고마워요,Thanks for informing me
22,해설하다,an explanation/ interpretation
23,인상하다,to increase/raise (prices)
24,첫인상,first impression
25,주인공,protagonist
26,최근,the latest/ most recent
27,장면,scene/ situation (movie)
28,심하다,to be extreme/ severe
29,강하다,to be strong/ intense
30,내용,contents
31,높다,be high/ tall/ exalted
32,깊다,to be deep
33,주제,subject matter/ theme
34,실력,ability/ capability
35,사물놀이,samulnori (traditional Korean music played with 4 instruments)
36,분위기,atmosphere
37,지루하다,be boring
38,흥겹다,be exciting and fun
39,확,completely/ all at once
40,추천하다,to recommend
41,안내하다,to inform/ guide
42,제안하다,to suggest/ propose
43,권하다,to ask/ suggest/ persuade
44,사과하다,to apologise
45,점성,sincerity
46,흔들다,to shake (hands)/ wave
47,놀이패,a group of people who perform Korean tradition music
48,전통 악기,traditional instruments
0,뮤지컬,a musical
1,감동적이다,to be emotionally touching
2,무대,stage
3,의상,costume
4,말할 것도 없다,no doubt
5,공연,a public performance
6,자막,captions/ subtitles
7,성공,success
8,작품명,title (of movie or art)
9,관람 연령,age restriction for watching (something)
10,공연 장소,performance venue
11,공연 일시,performance date/time...
12,작품 해설,synopsis
13,비슷하다,to be similar
14,특징,a special feature/ characteristic
15,화려하다,to be fancy/ showy
16,관객,audience
17,알리다,to inform
18,좌석,a seat
19,인터넷 사이트,Internet site
20,가입하다,to join
21,선택하다,to choose
22,알려 주다,to inform
23,간단하다,to be simple
24,예매하다,buy in advance (tickets)
25,예약하다,to make a reservation
26,확인하다,to check
27,취소하다,to cancel
28,환불 받다,to get a refund
29,변경하다,to change/ modify
30,인원수,number of persons
31,매진되다,to be sold out
32,폰뱅킹,phone banking
33,당일,the appointed day
34,목소리,a voice
35,연기,acting
36,훌륭하다,outstanding/ magnificent
37,대사,script/ dialogue
38,인상적이다,impressive
39,감동적이다,emotionally touching
40,우울하다,depressed
41,환상적이다,fantastic
42,심각하다,serious or grave
43,신나다,excited
44,백문이 불여일걸,seeing is believing
45,평범하다,common
46,영원히,forever
47,제목,a subject/ theme
48,화제,a topic
49,비교하다,to compare
0,실례,rude/ impolite
1,상대방,the person you're talking to
2,인형,a doll
3,얼마 전까지,until recently
4,이런,like this/ this sort of
5,열심히 하겠습니다,I'll do my best
6,만큼,as...as/ how much (equal to)
7,글,a sentence/ writing/ a letter
8,고치다,to fix
9,조절,adjustment knob (for volume)
10,전원이 나갔다,the power goes out
11,나타나지다,to appear
12,글자,letter/ written character
13,당장,immediately
14,떨어뜨리다,to drop/ slip from ones hands
15,기계,machine
16,뒷,the back
17,부분,part/ section
18,유리,glass
19,깨지다,to break/ shatter (passive)
20,누르다,to press (down like on a button)
21,미장원,beauty salon
22,상황,situation/ conditions
23,잡다,to catch
24,때리다,to hit/ strike/ whip
25,쫓다,to chase
26,쌓다,to build/ pile up
27,헤매다,to wander about/ rove
28,바르다,to apply/ smear/ paint
29,정하다,to decide/ set/ determine
30,꾸미다,to decorate/ adorn/ make up
31,야단하다,to scold/ chide/ make a fuss
32,결국,finally
33,겨우,barely
34,먼지,dust
35,동네,town
36,가득,full
37,한참,long time
38,벌,punishment
39,줄일 수,reduce the number of
40,평일,weekday
41,택배로,by courier
42,목욕탕,bathroom/ bathhouse
43,가위,scissors
44,전망,view/ prospect
45,밑줄,underline/ underscore
46,형태,form
0,시간제,part-time/ hourly-paid worker
1,보수,payment/ wage
2,자기 소개서,self introduction in written form
3,시간당,per hour
4,배달,delivery
5,업무,business/ service/ duties
6,능통자,a professional
7,면접,an interview
8,판매,sale/ selling
9,지원하다,to apply
10,구인 광고,help-wanted advert
11,주유,refueling/ gas (petrol)
12,매점,a store
13,원래,originally/ basically
14,본래,originally/ primarily
15,선천적으로,innate/ inherent
16,곱슬,curly/ wavy
17,걸리다,take(time)/ catch(cold)/ to get through (phone call)
18,수리,repair
19,들다,to cost/ join/ eat (hon.)/ carry/ lift
20,구입하다,to buy
21,맡기다,to entrust
22,고장나다,out of order/ broken
23,이상이 있다,to be abnormal
24,사용 설명서를 보다,to look at a manual (directions manual)
25,문의하다,to inquire
26,서비스 센터에 맡기다,to leave/ drop off at service center
27,수리를 요청하다,to request a repair (house call)
28,서비스 센터에 찾다,to pick up item from a service center
29,수리를 받다,to refit
30,수리를 하다,to repair
31,배터리,battery
32,충전하다,to charge (with electricity)
33,자판,keyboard
34,온도,temperature
35,젖다,to get wet
36,뾰족하다,to be sharp
37,액정,a liquid cyrstal
38,작동,operating
39,돌리다,to give out
40,팥,red beans
41,시루,earthenware steamer
42,조리 기구,cooking kit
43,예를 들어,for example
44,예를 들면,e.g. / for instance
45,요청하다,to request
46,음량,music/sound volume
47,아랫사람,one's junior
48,윗사람,one's senior/ superior
49,악수,handshake
0,인사를 가다,to go and greet
1,인사를 시키다,to make someone greet someone else
2,인사를 받다,to receive a greeting
3,인사를 나누다,to exchange greetings
4,인사를 드리다,to greet
5,이사를 오다,to move in
6,그렇지 않아도,as a matter of fact
7,궁금하다,to be curious
8,이사 떡,rice cake as a moving-in present
9,맛을 보다,to taste
10,이야기를 나누다,to talk (with)
11,위로하다,to console/ to comfort
12,청하다,to ask/ request
13,무표정하다,to be expressionless
14,고려하다,to consider
15,앞머리,bangs (fringe)
16,찌르다,to prick/ poke (with a needle or finger)
17,염색,dye hair
18,짙다,dark/ deep/ rich/
19,어두운 색갈,dark colour
20,갈색,brown
21,염색하다,to dye
22,머리를 다듬다,to trim hair
23,드라이클리닝하다,to dryclean
24,굽을 갈다,to fix a shoe heel
25,다림질을 하다,to iron
26,파마를 하다,to get a perm
27,표정,facial expression
28,머리 하다,to do your hair (cut/ perm/ trim)
29,미용실,beauty shop
30,세탁소,laundromat/ dry cleaners
31,옷을 줄이다,to have your clothes altered
32,구둣방,shoe store
33,구두를 닦다,to shine shoes
34,다듬다,to trim/to prune (hair/tree/bush)
35,펴다,unfold/ straighten/ unroll/ release
36,말리다,to dry (something)
37,미용사,hair stylist/ beautician
38,드라이,hair dryer
39,두께,thickness
40,덮다,to cover
41,세탁물,the laundry
42,구하다,to look for/ seek
43,장소,place/ location
44,초보자,a beginner (inexperienced)
45,경험,an experience
46,근무 시간,working hours
47,다들,everyone
48,경력자,experienced worker
49,이력서,a resume
0,안색,one's complexion
1,몸살이 나다,suffer from fatigue/ aching all over
2,무리하다,to overdo
3,뭐니 뭐니 해도,after all
4,잃다,to lose (something)
5,과로하다,to work too hard
6,스트레스,stress
7,쌓다,to build up (stress)
8,풀리다,to relieve (stress)
9,받다,to receive (stress)
10,불면증,insomnia
11,비만,obessity
12,고혈압,high blood pressure
13,운동 부족,lack of exercise
14,혈압,blood pressure
15,체중,(body) weight
16,예문,example sentence
17,의견,an opinion/ idea
18,근육통,muscle ache
19,영원,forever. eternity
20,휴가,vacation (workers)
21,야근,overtime/ night shift/work
22,유혹,temptation/ seduction
23,뿌리치다,to repel/ shake off/ refuse
24,상쾌하다,to be refreshing
25,충고,advice
26,식욕,appetite
27,유지하다,to maintain/ preserve/ keep up
28,노력,effort
29,깨우다,wake someone up
30,체중이 줄다,to lose weight
31,스트레스가 풀리다,to relieve stress
32,근육이 생기다,to get muscle
33,열량을 소모하다,to consume calories
34,피로가 풀리다,to get rid of fatigue
35,피로를 느끼다,feel fatigued
36,열량,calories
37,빠지다,indulge
38,살이 찌다,to gain weight (not ㅊ)
39,체중이 늘다,to gain weight (not ㅅ)
40,다이어트,a diet
41,소비,consumption
42,장바구니,shopping basket
43,번거롭다,complicated
44,손이 가다,to require a lot of time/effort
45,대표적이다,to be representative
46,건강식,health food
47,김장철,the season for making kimchi
48,김장하다,to make kimchi
