일단	first, first of all
장기 자랑	talent show
슬슬	slowly
회식	office dinner
참석하다	to attend
잔뜩	highly
기대하다	to expect, anticipate
2차	second round
대회	contest, conference, convention, tournament
친목	a friendship
회의	Meeting
야유회	picnic party
동호회	work organized club/group
오해	misunderstanding
푹탄주	a glass of beer with a shot of whiskey at  the bottom
산낙지	live octopus
마술	magic
건의하다	to propose
회신	reply
목적	purpose, goal, objective
방식	way, method, manner
손윗사람	one's senior, superior
손아랫사람	a person who is lower in hierarchy
각자	each person
부담하다	to bear the expenses, pay
지저분하다	dirty, messy
더럽다	filthy, foul, stingy
빨대	drinking straw
생얼	natural makeup
적당하다	reasonable
새벽	dawn, wee hours
할인권	Vouchers
물에 빠지	Drowning and water
남을	Others
익다	ripe, familiar, used
실	thread, yarn
까다롭다	picky, fastidious
끊기	severe, break off
지키	to keep
주먹	fist
손바닥	palm
모기	mosquito
단춧구멍	buttonhole
늘	always
몹시	very, exceedingly
덕분으로	Thanks to someone
성적	result, performance
채점하다	to mark, score
편찮	Ill, uncomfortable
