따르다	follow, conform, based on
볶음밥	fried rice
뽑혀	single out
용서하다	to forgive, pardon
얼마나 자주	How often
얼마나 오랫동안	How long
면세점	Duty Free Shop
생각보다...던데	...than I thought
몸매	body shape
줄이다	to reduce
좋아지고 있어요	getting better at...
낫지 않다	not recovered  yet
요약하다	to summarise
도움	help (noun)
무엇인가	something
애완동물	Pets
역시	also, as well
또한	also, moreover
또는	either or, in other words
위해서	for purpose of, regarding
곱슬	curly, frizzy, wavy
다가오다	to come closer
당장	right now, immediately
최근 까지	until recently
얼마든지	any amount, without limit
이하	x and below
이상	x and above
고급	luxury
및	And, also, as well, besides
빠지	missing, omit
똥 값	dirt cheap
적당한 가격	affordable price
하기로 했다	...decided to do
문의하다	Inquire (hon)
물어보다	ask
햇볕	Sunlight
번거롭다	complex, troublesome
귀찮다	troublesome, annoying
오징어	squid
꿀꿀하다	moody, pig's grunt
가죽	leather
생강차	Ginger tea
유자차	Citron tea
달리기	running
손봐 주다	helping hand
순간	an instant, moment
아쉽다	lacking, unsatisfied
