어찌나 - 는지	It is so... that
발음	pronunciation
마침	fortunately
언어 교환	language exchange
포기하다	to give up, abandon
연락처	contact information
성별	sex, gender
모국어	Native language
억양	intonation
조사	Particles (~이/가, 을/를, 와/과, 에, 에서, (으)로...)
참고	reference
게시판	bulletin board
유용하다	(to be) useful;valuable;serviceable
현지인	the natives
우정	friendship
상관없다	to have nothing to do (with), bear no relation, be unrelated
살이 빠지다	to lose weight
살이 찌다	to gain weight
입학하다	to enter the school, to do the enrollment
원서	application form
접수 시키다	to submit
성적표	student's records
면접시험	an interview
그밖에	besides
상담실	a counselor's office
상담 교사	Counselor, Counseling Teacher
조언	advice
상담하다	to counsel
상담을 받다	to receive couseling
중이다	to be doing (in the middle of)
심사	screening
합격자	a successful candidate
등록금	tuition fee
납부	payment
용지	a (blank) form
당장	immediately
취업	working; begin to work. ∼ 하다 start [begin, set about] work.
담일 선생님	class teacher
일정	Schedule
교육	Education
전체	all together
예의	courtesy; (good) manners; etiquette
의논하다	to consult, confer, talk
(도시락을) 싸다	to prepare a lunch box
공경	respect
간식	snack, refreshments
구체적이다	be detailed, concrete, specific
스승	a teacher; a master
잔디밭	lawn, turf
