미인 대회	Beauty pageant
미인	a belle, pin-up girl
남성미	Masculine beauty
자연의 미	natural beauty
불장난하다	to play with fire/to flirt with
수천	Thousands
수만	Tens of thousands
그루	a tree stump, crop
산불	forest fires
가짜	fake, fraud, imposter, fogery
연인	couple, one's lover
강도	burglar, robber
붙잡히	be arrested, caught
붙잡다	to catch, seize, capture
붙잡아 주다	a helping hand, lend a hand
교도소	prison, jail
차가 밀려	traffic jam
밀리다	to pile up, accumulate/ be pushed
밀다	to push, jostle/ to scrub, shave
소매치기	a pickpocket
성추행범	molesters
치한	a pervert
범	criminal/tiger
애교	act cute, winsome
여우	Fox
고집하다	to persist, stick to, stand firm
사납다	fierce (animal), violent (person), rough (sea)
참을성	patience, tolerance, longsuffering
참을성 있는 사람	a patient  person
원인 결과	cause and effect
신경 쓰지 마세요	Never mind
아무 일도 아닌 것	it's nothing
교통편	Transportation
진행	Progress/host, emcee
할 만한	worthwhile
볼 만한 것	a sight, attraction
정확하다	precise, correct, accurate
마주	face to face, directly opposite
마주보다	confront, face to face
겉으로	Seemingly, outward appearance
여러 번	many times
아무렇지 않다	indifferent, nonchalant
습관	habit, custom
만일	if by chance
왕따	outcast, outsider
왕따 시키다	to alienate
형제인	siblings
둘이	a couple, pair
강의	lecture
강의하다	to give a lecture
