부족	lack, insufficient, deficit (not ᄆ)
모자라다	lack, insufficient (not ᄇ)
겪다	to undergo, suffer, experience
손님은 겪다	to entertain guests
가로	width, breadth, horizontally; avenue
세로	length, height, vertically
출신	origin; graduate of; affiliation (political)
전 세계적으로	worldwide
활짝	Wide, broad, bright (sky, smile), full bloom
기온	temperatures
영하	sub zero
얼어 죽다	freeze to death
동남아	Southeast Asia
늘고 있다	increasing
지구	Earth, globe; district, zone
곳곳	everywhere, here and there
긁다	to scratch, paw; offend, nag, provoke
물리다	get bitten, stung
환자	a patient, sufferer
쓰러지다	to fall, topple, collapse (thing, person)
포장하다	to pack, wrap
항공서	Airline company
마른 안주	Dry snacks
하늘의 별 따기	Asking for the impossible (lit: Picking the stars in the sky)
되돌아오다	to come back, return
되돌다	to turn around, turn back
고속도로	highway
통역하다	to translate, interpret
속담	a proverb
정직하다	to be honest
빚	debt
갚다	to repay
총탄에 쓰러지다	shot to death
진찰	medical exam
기상청	Weather Service
고객	client (bank or insurance)
경제 사정	Economic conditions
나아지다	become better
들켜다	to be found, detected, caught in the act
혼나다	to get a scolding, told off
장난 치다	to play a prank, practical joke
짝	one's partner, mate, spouse
시절	days, times, season
젊은 시절	time of one's youth
고난의 시절	hard times
좋았던 옛 시절	Good old days
수학	Math
회상하다	to recollect, reflect on; negotiate
밤을 새우다	stay up all night
새우	shrimp, lobster
