,0,1
0,양해를 구하다,to ask for permission
1,솔직하다,"honest, open, frank"
2,행동,"action/habits, behavior, conduct"
3,옳다,"to be right, reasonable"
4,횟수,number of times
5,오해를 사다,to create a misunderstanding
6,부딪치다,"to bump against, to hit, to collide"
7,계속,continuously
8,표현하다,to express
9,화해하다,to reconcile
10,이해하다,to understand
11,알아듣다,to listen and understand
12,알아보다,"to recognise alt: to inquire about, to look into"
13,설득하다,To persuade
14,진심,"sincerity, the bottom of ones heart"
15,무조건,unconditionally
16,어색하다,to be awkward
17,효과적이다,to be effective
18,불만,dissatisfaction
19,문화권,a cultural area
20,차이,difference
21,팔짱을 끼다,"to lock arms with, be arm in arm with a person"
22,구름 끼다,Clouds gather
23,뛰어나다,outstanding
24,결국,"finally, in the end"
25,다루,"to handle, manage"
26,기대하다,Expect
27,초대,invitation
28,최근,lately
29,인생,one's life
30,꽤,"fairly, quite"
31,꽤많다,quite a lot
32,돋보인다,Remarkable
33,도두보다,looks better than actual
34,실제,"real, truth"
35,실제로,actually
36,전체,G movie rating
37,의외로,surprisingly
38,내놓다,"put out, bring out"
39,데려다,to take note
40,맞춰,Fit
41,내내,"all the way, throughout"
42,잊혀,forgotten
43,도록,"so that, so as, until, up to"
44,막다,"block, close, shut"
45,부어,Pour
46,담고,contains
47,잠길,"submerge, immerse"
48,기도,Prayer
49,속상하다,"upset, depressed"
50,따라하도록,According to
0,우면히,by chance
1,전망,"View, prospect"
2,나이질,to get better
3,무엇이라도,whatever
4,선풍기,electric fan
5,정성,"sincere , earnest"
6,경우,"occasion, circumstance"
7,꺼내다,"to pick out, take out ($, things), bring up a matter"
8,동그랗다,"round, spherical"
9,납작하다,"flat (object), thin"
10,가리키,"to refer to, mean"
11,대출,loan (library books
12,반납,return (library books)
13,빠지다,"to become thin, gaunt; leftout; drain"
14,성형 수술,cosmetic surgery
15,붓다,to pour
16,뜻,"meaning, sense, significance (not ᄋ)"
17,의미,"meaning, sense (not ᄄ)"
18,천사,angel
19,놓치다,"to miss (a bus, ball)"
20,당연히,naturally
21,으므로,"Because, therefore"
22,목적,purpose
23,회신,Reply; ashes
24,예정,"plan, programme"
25,자리,"occasion; seat; space, room; position, post"
26,관련,"relation, connection"
27,그립다,"long for, miss"
28,그리워하다,"to yearn, pine for"
29,그리운 사람,my beloved
30,일반적으로,"Generally, usually"
31,각자,"each, individually"
32,영향,influence
33,업무,"task, duties"
34,빠짐없이,"without exception, omission, one and all"
35,빠지다,be omitted
36,모집하다,"to recruit, enlist, enrol"
