하다	to do
가족	family
사진	picture; photo (not 그...)
보다	to see
자주	often
가끔	sometimes
일	work
숙제	homework
공부	study
이야기	story
노래	song
운동	exercise
산책	stroll, walk
일하다	to work
공부하다	to study
숙제하다	to do homework
운동하다	to exercise
이야기하다	to talk
노래하다	to sing a song
산책하다	to go for a stroll, to take a walk
사다	to buy
김치	kimchi
영화	movie
음악	music
날마다	everyday (not 매...)
부르다	to sing
명	counting unit for people
몇	how many, what (with a counter)
아버지	father
어머니	mother
누나	older sister (for males)
모두	all
부모님	Parents
계시다	to be (honorific)
고향	hometown
형	older brother (for males)
오빠	older brother (for females)
남동생	younger brother
여동생	younger sister
동생	younger sibling
남	male
여	female
언니	older sister (for females)
나	I (plain)
할머니	grandmother
할아버지	grandfather
외할아버지	grandfather (mother's side)
외할머니	grandmother (mother's side)
형제	siblings
주무시다	to sleep (honorific)
잡수시다	to eat (honorific, not 드..!)
드시다	to eat (honorific)
말하다	to say, to speak
말씀하시다	to say, to speak (honorific)
하나	one (pure-Korean)
둘	two (pure-Korean)
셋	three (pure-Korean)
넷	four (pure-Korean)
다섯	five (pure-Korean)
여섯	six (pure-Korean)
일곱	seven (pure-Korean)
여덟	eight (pure-Korean)
아홉	nine (pure-Korean)
열	ten (pure-Korean)
개	counting unit for things
권	counting unit for books
좋아하다	to like
주부	housewife
아주	very
안	not
고등학생	high school student
재미있다	to be fun, interesting
산	mountain
공기	air
조용하다	to be quiet
깨끗하다	to be clean
더럽다	to be dirty
예쁘다	to be pretty
시끄럽다	to be noisy
넓다	to be wide, broad
좁다	to be narrow
복잡하다	to be crowded, to be complicated
따뜻하다	to be warm
시원하다	to be cool
덥다	to be hot
춥다	to be cold
바다	sea
그래서	so, therefore
생선	fish
대학교	college, university
겨울	winter
여름	summer
친절하다	to be kind
들	plural particle
사랑하다	to love
어떻다	how (it) is
경제학	economics
전공	major, field of study
역사학	history
정치학	political science
경영학	business administration
법학	law
영문학	English literature
의학	medicine
컴퓨터공학	computer engineering
생물학	biology
사장	CEO, president (of a company)
영어	English language
컴퓨터 프로그래머	computer programer
방	room
한국말	Korean language (spoken)
