,0,1
0,전화번호,phone number
1,이따가,a little later
2,국제전화,international call
3,시외전화,long distance call
4,휴대전화,cellphone
5,핸드폰,cellphone
6,국,the leading digits of a phone number
7,의,dash (-)
8,범죄,crime
9,안내,notice
10,화재,fire
11,구조,rescue
12,신고,report
13,불이 나다,there is a fire
14,나중에,later
15,고속전철,high-speed train
16,열쇠고리,key chain
17,바로,"just, right"
18,여행사,travel agency
19,괜찮다,to be all right
20,전화번호를 누르다,to dial phone number
21,신호가 가다,to be ringing (phone)
22,전화벨이 울리다,to ring (phone)
23,잘못 걸다,to have the wrong number
24,켜다,to turn on
25,끄다,to turn off
26,누르다,to press
27,문자 메시지,text message
28,음성 메시지,voice message
29,메시지를 보내다,to send a message
30,메시지를 확인하다,to check a message
31,메시지를 남기다,to leave a message
32,받다,to receive
33,전화를 걸다,to make a phone call
34,바꾸다,to change/to transfer a call
35,전화를 받다,to answer the phone
36,주문하다,to order
37,주소,address
38,호,room number
39,배달하다,to deliver
40,부탁,request/favor
41,무역,trade
42,정말,really
43,웬일이세요?,What's up?
44,잠깐만요,"wait a minute,/hold on"
45,아니에요?,isn't it?
46,늦다,to be late
47,약속하다,to make an appointment/promise
48,약속을 어기다,to break an appointment/to break promise
49,약속을 지키다,to keep an appointment/to keep a promise
50,수영장,swimming pool
51,눈,snow
52,눈사람,snowman
53,세일,a sale
54,왜,why
55,언제나,always
56,일찍,early
57,아직,still/not yet
58,여자,woman
59,아마,probably/possibly
60,통화하다,to speak over the phone
61,통화종이다,the phone line is busy
62,전화를 끊다,to hang up the phone
63,코미디,comedy
64,출장,business trip
65,심심하다,to be bored
66,다,all
67,시작,start
68,운전하다,to drive
69,결혼하다,to get married
70,아이,child
71,앞으로,from now on/in the future
0,계절,season
1,봄,spring
2,생각,thought
3,스키,skis
4,스키장,ski resort
5,여름,summer
6,가을,fall
7,겨울,winter
8,피다,to bloom
9,딸기,strawberry
10,진달래,azalea
11,개나리,forsythia
12,휴가,leave/holiday (from work)
13,수박,watermelon
14,감,persimmon
15,단풍,autumn leaves
16,구경,sightseeing
17,수영,swimming
18,비빔냉면,bibim-naengmyeon (mixed cold noodles)
19,한가하다,to be available/to be at leisure
20,피아노,piano
21,도시,city
22,시골,countryside
23,스케이트,skates
24,태권도,taekwondo
25,여러분,you (plural)/everybody
26,사계절,four seasons
27,등산하다,to climb mountains
28,바람이 불다,the wind blows
29,취미,hobby
30,벚꽃,cherry blossom
31,흐리다,to be cloudy
32,하늘,sky
33,구름이 끼다,to be cloudy
34,맑다,to be clear
35,개다,to clear up
36,안개가 끼다,to be foggy
37,비가 오다,to rain
38,비가 내리다,to rain
39,비가 그치다,to stop raining
40,눈이 오다,to snow
41,눈이 내리다,to snow
42,눈이 그치다,to stop snowing
43,바람이 강하다,wind is strong
44,바람이 약하다,wind is weak
45,안개,fog
46,구름,cloud
47,불다,to blow
48,강하다,to be strong
49,약하다,to be weak
50,바람,wind
51,결혼식,wedding ceremony
52,신혼여행,honeymoon
53,인터넷,internet
54,예매,booking
55,양말,socks
56,외출,going out
57,화장하다,to put on make-up
58,잠옷,pajamas
