,0,1
0,금강산도 식후경,Pudding rather than praise.
1,세 살 적 버릇 여든까지 간다,What is learned in the cradle is carried to the tomb.
2,그림의떡,Pie in the sky.
3,누워서 떡 먹기,A piece of cake.
4,떡 줄 놈은 생각지도 않는데 김칫국부터 마신다,Don’t count your chickens before they’ve hatched.
5,원숭이도 나무에서 떨어질 때가 있다,Even monkeys fall from trees.
6,고래 싸움에 새우 등 터진다,When giants fight it’s the little guys that lose.
7,믿는 도끼에 발등 찍힌다,To bite the hand that feeds you.
8,아니 땐 굴뚝에 연기 나랴,Where there’s smoke there’s fire.
9,배보다 배꼽이 크다,The belly button is bigger than the belly.
0,감시,observation
1,권리,"right (eg. civil, human)"
2,면,side (of something)
3,명예훼손,"defamation, libel"
4,소유권,"title, ownership"
5,손해배상,damages (financial)
6,악용되다,"exploit, misuse sth, put sth to bad use"
7,안심,peace of mind
8,안전,safety
9,인권,human rights
10,재산권,property right
11,저작권,"intellectual property, copyright"
12,제약,restrictions
13,초상권,portrait rights
14,침해,infringement
0,빈 수레가 더 요란하다,Empty vessels make the most sound.
1,누워서 침 뱉기,What goes around comes around (esp gossip)
2,호랑이도 제 말 하면 온다,Speak of the devil and the devil appears.
3,제 눈의 안경,Beauty is in the eye of the beholder.
4,바늘 도둑이 소 도둑 된다,Steal a penny steal a pound.
5,꼬리가 길면 밟힌다,Give him enough rope and he will hang himself.
6,돌다리도 두들겨 보고 건너라,Look before you leap.
7,윗물이 맑아야 아랫물이 맑다,Like father like son.
8,소 잃고 외양간 고친다,Mend the barn after the horse is stolen.
9,콩 심은데 콩 나고 팥 심은데 팥 난다,As one sows so shall he reap.
0,가맹점,franchise
1,결제,payments
2,교훈,lesson
3,금액,amount of money
4,면제,exemption
5,무이자,interest-free
6,무절제하다,commit
7,신용카드,credit cards
8,연회비,(annual) membership fee
9,일시불,lump sum
10,적립,save up
11,최근,latest
12,포인트,point
13,한도,limit
14,할부,pay in installments
15,할인,discount
0,머리기사,headlines
1,독자투고,"reader's comments, letters to the editor"
2,란(난),area/space on a page (layout)
3,만평,a political cartoon
4,빠뜨리다,"to forget (sth), to come without (sth)"
5,상식,"common sense, common knowledge"
6,인사동정,"public notices (of awards, promitions, deaths, etc)"
7,일과,daily work/tasks
8,일어나다,"to occur or break out (eg war, revolution, disaster)"
9,면,"newspaper section (eg business, sports)"
10,사설,editorial (column)
11,칼럼,column (in a newspaper)
0,고구마,sweet potato
1,귀성행렬,homecoming traffic jam
2,내내,throughought (a period of time)
3,너 나 할 것 없이,not just you and I
4,맏-,the first (of a set)
5,맨-,"without anything else, (bare __ed)"
6,며느리,daughter-in-law
7,붐비다,crowded
8,사위,son-in-law
9,열대지방,tropical area
10,주먹,fist
11,첫-,"the first (sth, not necessarily of a set)"
