,0,1
0,동기,friend (same level)
1,동료,colleague
2,동창,alumni
3,사귀다,to make friends
4,사장,CEO
5,선배,senior
6,선생님,Teacher
7,싸우다,to fight
8,직원,employee
9,학생,student
10,가르치다,to teach
11,공부하다,to study
12,교과서,textbook
13,교실,classroom
14,권,book or volume (counter)
15,끝나다,to be finished
16,낙제,fail
17,노력하다,to try
18,단어,word
19,돕다,to help
20,떨어지다,to fall
21,메모하다,to note
22,문제,problem
23,묻다,to ask
24,발음,pronunciation
25,발전,progress
26,배우다,to learn
27,벌다,to make money
28,복습,to review
29,분필,chalk
30,붙다,to attach
31,빌리다,to borrow
32,사무실,office room
33,사업,business
34,사전,Dictionary
35,설명,explanation
36,수업,class
37,숙제,homework
38,스트레스,stress
39,시험,"test, exam"
40,쌓이다,to pile
41,알다,to know
42,알리다,to inform
43,어렵다,To be difficult
44,연습,practice
45,열심히,hard
46,외국어,foreign language
47,월급,salary
48,유학,study abroad
49,일 (not day/number),work
50,읽다,to read
51,전공,major
52,준비,preparation
53,중요하다,to be important
54,직장,job
55,진학,entering a school of higher level
56,질문,question
57,쪽,page
58,찾다,to search
59,책,book
60,처리하다,to take care of
61,출장,business trip
62,틀리다,to be wrong
63,학기,"semester, academic term"
64,학년,grade
65,학비,tuition
66,한국어,Korean
67,한자,Chinese character
68,회의,meeting
69,휴게실,resting area
70,힘들다,to be tough
71,결석,absence
72,기숙사,dormitory
73,도서관,Library
74,뒤풀이,dinner party
75,방학,vacation period
76,뽑다,to pull
77,소풍,picnic
78,수학여행,school trip
79,아르바이트,part-time job
80,졸업하다,to graduate
81,하숙집,boarding house
82,학생증,student ID
83,다니다,to attend
84,바쁘다,to be busy
85,소식,news
86,실례,rude
87,예의,manners
88,지각하다,to be late
89,지내다,to get along
90,출근,going to work
91,취직,getting or finding work
92,휴가,break
0,경기,competition
1,공,ball
2,던지다,to throw
3,운동,exercise
4,차다 (not wear),to kick
5,치다,to hit
6,타다,to ride
7,팀,team
8,감상,looking and watching
9,드라마,drama
10,매표소,ticketing office
11,미술,the fine arts
12,상영,screening
13,연극,play
14,영화,movie
15,예매,advance purchase
16,음악,music
17,콘서트,concert
18,표,ticket
19,필름,film
20,관광,sightseeing
21,구경,tour
22,기념,commemoration
23,떠나다,to leave
24,묵다,to stay
25,비용,cost expense
26,비자,visa
27,세상,the world
28,숙박,lodge
29,안내,guidance
30,여권,passport
31,여행,travelling
32,예약,reservation
33,출국,departure of a country
34,게임,game
35,그리다,to draw
36,낚시,fishing
37,노래,song
38,독서,reading
39,등산,hiking
40,모으다,to save
41,바둑,Baduk (Korean chess)
42,보통,usually
43,사진,photograph
44,산책,a walk
45,악기,instrument
46,야영,camping
47,찍다,to take a picture
48,추다,to dance
49,취미,hobby
0,가위,scissors
1,공책,notebook
2,볼펜,ball point pen
3,봉투,envelope
4,수첩,daily planner
5,연필,pencil
6,자루,piece
7,지우개,eraser
8,필통,pencil case
9,가전제품,home appliances
10,고장,breakdown
