가슴	chest
건강	health
굵다	to be thick
귀	ears
눈 (body)	eyes
다리	legs
등	back
땀	sweat
머리	head
목	neck
몸	body
무릎	knee
발	feet
배 (body)	belly
뼈	bone
살 (body)	flesh
속 (body)	stomach
손	hands
신체	body
어깨	shoulder
얼굴	face
엉덩이	butt
입	mouth
코	nose
키	height
튼튼하다	to be strong
팔 (body)	arm
허리	waist
힘	strength
가래	mucus
가렵다	to be itchy
감기	a cold
기침	cough
나다	to have or form
다치다	to get hurt
두통	headache
따갑다	to sting
몸살	body ache
배탈	stomach ache
변비	constipation
병 (medical)	illness
부러지다	to break
빠지다	to lose
상처	scar
소화	digestion
식중독	food poisoning
심하다	to be harsh
쓰리다	to feel burning
아프다	to hurt
알레르기	allergy
여드름	acne
열 (medical)	fever
충혈되다	to have blood congestion
코피	nosebleed
토하다	to vomit
통증	pain
피	blood
피곤하다	to be tired
금연	stop smoking
깁스	cast
낫다	to feel better
내과	internal medicine
다이어트	diet
문병	visiting the sick
붕대	bandage
비타민	vitamin
수술	surgery
약	medicine
입원하다	to be hospitalized
주사	shot
진단서	medical certificate
진찰	examination
처방	prescription
한약	herbal medicine
환자	patient
