가위	scissors
공책	notebook
볼펜	ball point pen
봉투	envelope
수첩	daily planner
연필	pencil
자루	piece
지우개	eraser
필통	pencil case
가전제품	home appliances
고장	breakdown
고치다	to repair
냉장고	refrigerator
노트북	laptop
대	counter for machines
디지털 카메라	digital camera
비디오	video
사용하다	to use
선풍기	fan
세탁기	washing machine
에어컨	air conditioner
청소기	vacuum cleaner
컴퓨터	computer
텔레비전	television
그릇	bowl
냄비	pot
비누	soap
샴푸	shampoo
수건	towel
수저	spoon and chopsticks
접시	plate
칫솔	toothbrush
칼	knife
컵	cup
가구	furniture
소파	sofa
식탁	dining table
의자	chair
책상	desk
책장	bookshelf
침대	bed
그렇다	to be a certain state
다르다	to be different
두껍다	to be thick
무겁다	to be heavy
물건	object
비슷하다	to be similar
어떻다	to be this kind of...
좋다	to be good
크다	to be big
