감사	thanks
걱정	worry
관심	interest
괜찮다	to be okay
기분	mood
기쁘다	to be happy
놀라다	to be surprised
무섭다	to be scary
물론	of course
반갑다	to be glad
사랑	love
생각	thinking
슬프다	to be sad
싫다	to dislike
싫증	weariness
심심하다	to be bored
아마	perhaps
외롭다	to feel lonely
잊다	to forget
재미있다	to be fun
좋아하다	to like
죄송하다	to be sorry or regretful
즐겁다	to be cheerful
필요	need
행복하다	to be blissful
화	anger
가수	singer
간호사	nurse
경찰	police
공무원	government employee
교사	teacher
교수	professor
군인	soldier
기사	driver or technician
기자	writer
농부	farmer
되다	to become
모델	model
배우	actor
변호사	lawyer
비사	secretary
선수	athlete
소설가	novelist
약사	pharmacist
연예인	celebrity
의사	doctor
주부	housewife
직업	occupation
화가	artist
회사원	office worker
걷다	to walk
나오다	to go out
눕다	to lay down
들어가다	to go inside
뛰다	to run
서다	to stand
안다	to hug
앉다	to sit
올라가다	to go up
잡다	to hold or catch with hands
