만	ten thousand
많다	to be many
몇	how many
백	one hundred
수	amount
스물	twenty
십	ten (sino)
억	one hundred million
일(number)	one (sino)
이	two (sino)
삼	three (sino)
사	four (sino)
오	five (sino)
천	one thousand
하나	one (korean)
둘	two (korean)
셋	three (korean)
넷	four (korean)
다섯	five (korean)
낮	daytime
늦다	to be late
반	half
분(time)	minute
새벽	early morning
시	hour
아침	morning
언제	when
오전	a.m
일찍	early
저년	evening
지나다	to pass
쯤	about
초	second
날	day
날짜	date
내일	tomorrow
년	year
어제	yesterday
연휴	holiday
오늘	today
올해	this year
요일	day of the week
월	month
일(not work/number)	Day
작년	last year
주	Week
주말	weekend
평일	weekday
휴일	legal holiday
