가다	to go
계획	a plan
꾸다	to dream
놀다	to play
뉴스	news
듣다	to listen or attend
마시다	to drink
만나다	to meet
말하다	to speak
먹다	to eat
면도	shave
목욕	bathing
바르다	to spread on
벗다	to take off (from the body)
보다	to see or taste
살다	to be alive
생활	life
샤워	shower
세수	to wash face or hands
세우다	to stop or park
쉬다	to rest
신문	newspaper
쓰다 (not wear/use/bitter)	to write
씻다	to wash
일기	diary
일어나다	to get up
하다	to do
화장	makeup
공중전화	phone booth
국제전화	international call
끊다	to hang up or quit
누르다	to press
답장	reply letter
문자 메시지	text message
발신자	person who called or sent something
버튼	button
번	number
별표	star
부치다	to send
붙이다	to stick
소포	package
신호	signal
여보세요	hello (on the phone)
연락	contact
엽서	postcard
우표	postage stamp
인터넷	internet
전화	telephone
전화번호	telephone number
주소	address
진동	vibration
켜다	to turn on
택배	parcel service
통화	talking
편지	letter
확인	checking
