강아지	puppy
고래	whale
고양이	cat
꽃	flower
나무	tree
단풍	autumn leaves
닭	chicken
동물	animal
돼지	pig
마리	animal (counter)
새	bird
소	cow
송이	cluster/bunch (counter)
양	sheep
오리	duck
피다	to bloom
호랑이	tiger
갈색	brown
까맣다	to be black
노랗다	to be yellow
분홍색	pink
빨갛다	to be red
색깔	colour
주황색	orange
초록색	green
파랗다	to be blue
하얗다	to be white
강	river
경치	landscape
공기	air
높다	to be high
돌	stone
모래	sand
바다	ocean
별	star
산	mountain
섬	island
아름답다	to be beautiful
폭포	waterfall
하늘	sky
호수	lake
구름	cloud
끼다 (weather)	to fog up
날씨	weather
눈 (weather)	snow
덥다	to be hot
따뜻하다	to be kind or warm
맑다	to be clear
바람	wind
비	rain
선선하다	to be refreshing
습하다	to be humid
시원하다	to feel refreshed
쌀쌀하다	to feel chilly
안개	fog
장마	rainy season
흐리다	to be unclear
가을	autumn
겨울	winter
계절	season
봄	spring
얼다	to freeze
여름	summer
철	season
피서	avoiding the heat
환절기	change of seasons
