궁중	royal
끓다	to boil, simmer
데치다	to parboil
빼다	to take out, to drain
바르다	to apply
가늘다	to be thin
양념장	sauce
순서대로	in order
재료	ingredient
익다	to be cooked
양념	seasoning
표고버섯	pyogo (mushroom)
설탕	sugar
참기름	sesame oil
후춧가루	black pepper powder
당근	carrot
피망	pimiento
양파	onion
파	long green onion
붉은 고추	red pepper
마늘	garlic
깨	sesame seed
식용유	cooking oil
분식집	snack-bar shop
메뉴	menu
어묵	fish cake
숟가락	spoon
마지막	last
하늘색	sky blue
하얗다	to be white
어울리다	to suit
갈아입다	to change
치수	size
분홍색	pink
계산	calculation
봉투	envelope, paper bag
서명하다	to sign
직접	directly/ in person
배달하다	to deliver
노인	elders
세일하다	to sale
바구니	basket
마음에 들다	(something) to suit one's taste
감자	potato
전자사전	electronic dictionary
콤비네이션 피자	combination pizza
디지털 카메라	digital camera
스팀 청소기	vacuum machine with steam/wet vacuum
서비스	service, free gift
생수	mineral water
햄	ham
MP3 플레이어	MP3 player
비누	soap
군만두	fried dumpling
