진심으로	sincerely
환영하다	to welcome
기대되다	to expect to
부서	department
대리	deputy/section chief
업무	task
개발	devolopment
의논하다	to advise
규칙	rule
기사	article
기름	gas
물가	prices
오르다	to rise
맡다	to take care of
수술	operation
나이가 들다	to age
궁금하다	to be curious about
설문조사	survey
이자	Interest
일정	schedule
신입사원	new employee
승진	promotion
각자	each
입사	entering a company
기념	commemoration
상사	senior (employee)
부학직원	junior (employee)
풀다	to relieve
연구	research
급한	urgent
생기다	to be formed/get/happen
본사	headquarters
상태	condition (of patient)
동창	alumni
부탁 드리다	give request
