운명	Fate
알아보다	To find out
별자리	Constellation
관상을 보다	Fortune telling by face
손금을 보다	Fortune telling by palm
사주를 보다	Fortune telling by birthdate
점을 치다	To tell a fortune
생년월일	Birthdate
운명적이다	To be fated
궁합을 보다	To check marriage compatibility
눈빚	Look in one's eye
맑다	To be clear
견디다	To bear, tolerate
맞히다	To guess correctly
점집	Fortune teller
경멸하다	To disintegrate
한심하다	To be pathetic
호기심	Curiosity
이끌다	To lead
거절하다	To refuse
간판	Signboard
달다	To attach, hoist
지적하다	To point out
우연의 일치	Casual coincidence
유혹	Temptation
통계	Numerical statement
얻다	To gain
타고나다	To be born with
들어맞다	To be proved right
점쟁이	Fortune teller
알아맞히다	To guess right
초점을 두다	To focus
감탄하다	To admire
미신	Superstition
승패	Victory and defeat
여부	Whether
약자	The weak
강자	The strong
불안감을 덜다	To relieve anxiety
불안감을 안고 살아가다	To live with anxiety
새삼스레	Overbearingly
위안이 되다	To be comforting
심판	Referee
뼈 아프게 깨닫다	To painfully realize
전개	The development of the situation
얽매이다	To be bound up
헤어나오다	To be trapped, addicted
사로잡히다	To be obsessed with
삶의 방편으로 삼다	To adopt a means or livelihood
입장	Position
조건을 따지다	To calculate terms
환상	Fantasy
고집을 부리다	To stick to one's guns
선을 보다	To meet a potential marriage partner
운명의 짝	Fated mate
철이 없다	To be childish, immature
철이 있다	To have maturity
평생	One's whole lifetime
결정짓다	To make a decisive conclusion
받아들이다	To accept, adopt, embrace
굉장히	Awfully
후회하다	To regret
