가정하다	To assume
강대국	Powerful nation
건국	Establishment of a country
고구려	One of Three Kingdoms
고려	Korea dynasty after Unified Silla
고조선	First Korean dynasty
곡창 지대	Bread basket
공용어	Official language
공통점	Common point
과거 제도	Testing system to select government officials
관문	Gateway
교류하다	To exchange
국력	National power
급속히	Rapidly
기름지다	To be fertile
남진	Southward advance
다툼을 벌이다	To dispute
대동강	River located near Pyeongyang
대항하다	To resist
독자성	Individuality
만주	Northeast region of China
멸망	Collapse, downfall
문명	Civilization
발달하다	To progress, develop
백제	Baekche
불과	Just, merely
삼국	Three Kingdoms
상류	Upstream
성립되다	To be concluded
쇠퇴하다	To decline, decay
수량	Amount of water
수상 교통	Waterborne traffic
신라	Silla
실화	A true story
약소국	Weak nation
억누르다	To suppress
얽히다	To be involved in
연표	Chronology
영토	Territory
온화하다	To be mild
위협	Threat
유역	River valley
융합	To fuse
이점	Advantage
자본	Capital
전래되다	To be imported from foreign countries
전파	Spread
조선	Joseon
주도권을 잃다	To lose leadership
지능	Intelligence
지류	Branch stream
지리적	Regional
지배하다	To govern
지적하다	To indicate
천도	Transferring the government
철기	Ironware
체제	Structure
추진하다	To push forward
층돌	Collision
침입	Invasion
통일	Unification
하류	Downstream
한민족	The Korean people
한반도	The Korean peninsula
한복판	The very middle
한양	Former name for Seoul
해로	Sea route
흥망	Rise and fall
