감상문	Report on piece of art or written word
감탄하다	To admire
감회가 새롭다	To renew old sentiments
거스르다	To go against
걸작	Masterpiece
견문	Knowledge, observation
고분	Ancient tomb
교훈	Lesson
권유	Suggestion
귀족	Aristocrat
기행문	Traveler's journey
다보탑	Pagoda in Bulguksa
대릉원	Imperial grave from Silla in Gyeongju
마무리하다	To wrap up
마음을 사로잡다	To be enthralled
무작정	Without a plan
물들다	To stain
민박	Lodging at a private residence
민속	Customs, folklore
보살상	Statue of Bodhisattva
볼거리	Things to see
부담스럽다	To be burdensome
부처	Buddha
불국사	A Buddhist temple in Gyeongju
블로그	Blog
빼어나다	To be outstanding
석사여래불상	Statue of Buddha
석가탑	A pagoda in Bulguksa 2
석굴	A stone cave
석굴암	A stone cave temple in Gyeongju
세계 문화유산	World heritage site
솟다	To rise, gush out
수호신	Guardian Angel
숙박	Lodging, staying
안동	A town in Gyeongsangbuk, famous way of living
야영	Camping
여정	Travel itinerary
역사상	Statue of the Mighty One
우물	A well
웅장	To be grand
위엄	Dignity
유교	Confucianism
유적지	Historic site
일치하다	To coincide
장관이다	To be a grand sight
장식	Decoration
저력	Potential power
절경이다	To be breath taking
정취를 느끼다	To feel a cultural atmosphere
제자상	Statue of Apprentice
조각하다	To engrave
중턱	Mid slope of a mountain
천왕상	Statue of the Heavenly King
첨성대	Astronomical observer from Silla era
추억	Memory
토함산	Mountain in Gyeongju
하회 마을	A folk village in the city of Andong
환상적이다	To be fantastic
휴양지	Vacation sport
흥미롭다	To be interesting
