대비	Contrast
나타나다	To appear
화자	Narrator
단편	Short story
중편	Novella
장편	Full length novel
대하소설	A saga
홀가분하다	To be carefree
싫증이 나다	To be bored
섭섭하다	To be disappointed
속상하다	To be upset
세차를 하다	To wash the car
칭찬하다	To compliment
보고서	Report
제출하다	To report
꾸러미	Pack, bunch
오리다	To cut out
정성을 들이다	To take care of oneself
가슴이 부풀다	One's heart swells
잔뜩	Heavily
장만하다	To prepare
용돈	Pocket money
구석	Internal corner
찌꺼기	Residue, sediment
한숨을 쉬다	To sigh
동창	School colleagues
얼굴을 들고 다닐 수가 없다	To be unable to return holding one's face
막내	Youngest (person)
남부러울 게 없다	There is nothing to be ashamed of
의심하다	To doubt
내려다보다	To look down
멎다	To stop, die down
광장	Square
대낮	Light of day
비추다	To shine
야외	Outdoor
양복	Western clothing
단추	Button
바람을 타다	To be swayed by the wind, be in fashion
싹이 트다	To sprout
허겁지겁	Hurriedly, hastily
뿌리를 내리다	To put down roots
눈물겹다	To be moved to tears
눈치	Sense
희망의 상징	A symbol of hope
용기를 얻다	To gain courage
백수	All kinds of animals
자신감(이) 없다	To have no confidence
필자	Writer
화상을 입다	To get scalded
흉하다	To be unlucky, ugly
변하다	To change, be changed
색종이	Colored paper
신통해하다	To be wonderful, surprising
군더더기	Unnecessity
끼고 돌다	To favor
개미	Ant
옥상	Roof
민들레꽃	Dandelion
시멘트로 포장하다	To pave with cement
빤빤하다	To be flat
씨앗	Seed
옹색하다	To be needy
한 줌의 먼지	A handful of dust
베란다	Veranda
쇠창살	Grating
돌아가시다	To pass away
떨어지다	To fall
자살하다	To commit suicide
고급	Advanced level
입을 열다	To open one's mouth
똥값이 되다	To be a cheap price
입 밖에 내다	To let slip
안전하다	To be safe
달다	To hang, be sweet
가득 차다	To be full
불만이다	To be dissatisfied with
손자	Grandson
업다	To carry something on someone's back
