현대시	Contemporary poetry
구절	Passage, paragraph
신간	A new issue
충고하다	To advise
비슷하다	To be similar
소용이 있다	To have use
강조하다	To emphasize
명시	Great poetry
해설	Explanation
연탄	(Coal) briquette
출간하다	To publish
그늘	Shade
눈이 부시다	To be dazzling
나뭇잎	Leaf
반짝이다	To twinkle
햇살	Sunbeam
닦다	To clean
고요하다	To be tranquil
기꺼이	Readily, willingly
이듬해	The following year
언덕길	An incline
하염없이	Endlessly
따스하다	To be warm
쓸쓸하게	Lonesomely
여태껏	So far
으깨다	To mash
이르다	To be early
시련	Ordeal, hardship
동정심	Sympathy
오해	Misunderstanding
인간미	Humanity
이기심	Selfishness
나무 한 그루	A tree
눈물 한 방울	One tear drop
방구들	A hypocaust
선득선득해지다	To be suddenly cold
조선 팔도	Korea
부릉부릉	Noise of a car
퍼먹다	To spread
재	Ashes
감명 깊다	To be impressed
가슴이 찡하다	To be choked up
자기 자신을 돌아보다	To reflect on oneself
청소부 아주머니	Housekeeper
창피하다	To be embarrassed
고개를 숙이다	To bow one's head
권하다	To recommend
사업에 실패하다	To fail in business
구걸을 하다	To beg
빚을 지다	To owe a debt
빚을 갚다	To pay off one's debt
반찬통	Side dish
율무차	Job’s tears tea
서럽다	To be sad
설레다	Heart fluttering
지겹다	To get bored
괘씸하다	To be disgusted
애틋하다	To be tender
억울하다	To be unfair
통쾌하다	To be pleasant
허무하다	To feel empty
흐뭇하다	To be pleased
혼란스럽다	To be confusing
