광고	Advert
구석구석	Every nook and craney
때	Dirt
전용	Exclusive use
전단지	Leaflet
뒤덮이다	To be covered with
불평하다	To complain
주식	Stock
짓다	To make, build
투자하다	To invest
판매하다	To sell
생산하다	To produce
창출하다	To create
일자리	Job
기가 막히다	To be at a loss for words
막대한 비용	Huge expense
따지다	To nitpick
1960년대 후반	Late 1960s
대량	Mass, large amount
낮추다	To lower
혜택을 받다	To receive benefits
화려하다	To be magnificent
다시 말해서	Saying it again
즉	Saying it again 2
낭비	Waste
낫다	To get better
늘리다	To expland
정가	Fixed price
판단을 흐리게 하다	To confuse someone's judgement
번지르르하다	To be slick
허위 과장 광고	False advertising
요구 사항	Requirements
글을 올리다	Post a comment, sentence
매장	Shop
전시하다	To exhibit
서명 운동을 벌이다	To conduct a signature campaign
중단하다	To suspend, stop
상담하다	To consult
개선하다	To make improvements
(문제를 해결하지 않고 그냥) 넘어가다	To pass over without solving a problem
시정하다	To correct, govern
귀를 기울이다	To direct one's ears
시들시들하다	To wither, be unsatisfactory
조목조목	Item by item
한국 소비자원	Korea Consumer Agency
눈에 안 차다	To not see something you like
눈을 붙이다	To fall asleep
한눈을 팔다	To be distracted
손에 익다	To be accustomed to
손을 놓다	To quit one's work
귀에 못이 박히다	To be tired of hearing something
코가 납작해지다	Lose face after arrogance
등을 돌리다	To turn one's back on someone
배꼽이 빠지다	To be in stitches from laughing
간이 콩알만 해지다	To be scared stiff
