가족애 	Love between family interests
건조하다	To be dry
굴뚝	Chimney
그제야	Only then, not until
깔다	To spread out
다스리다	To rule over, govern
단독 주택	Detached house
대문	Main gate
대청마루	Main floor between rooms
대충	Roughly, loosely
돌아키다	To reflect, look back upon the past
뒤틀리다	To be wrenched, twisted
다끈하다	To be nice and warm
마당	Yard
묵다	To stay
미지근하다	To be luke warm
바르다	To paste, stick
바탕	Foundation, basis
방바닥	The floor of a room
배탈(이) 나다	To have a stomach ache
보료	Fancy mattress used as a cushion
사랑방	Man's room for receiving guests
서재	Study, library
순환	Circulation
슬슬	Slowly
습도	Humidity
습하다	To be damp, humid
썰렁하다	To be a bit chilly
쑤시다	To ache, feel sharp pains
아궁이	Fireplace
아늑하다	To be cozy
아랫목	Warmest part of ondol floor
안방	Main bedroom
엎드리다	To lie on one's face
영	Not at all, never
오손도손	Friendly, happily
요	A sleeping mat
윗목	Place on ondol away from the fireplace
으슬으슬	Shivering, chilly
장독대	Jar stand
조절되다	To get regulated, controlled
탁 트이다	To be wide open, seen clearly
한기	Chilly sensation
한식	Korean style
한옥	Traditional Korean housing
한지	Traditional Korean paper
화단	Flower bed
황토	Brown soil
양옥	Western housing
오피스텔	Officetel
아파트	Apartment
빌라	Villa
원룸	One room
욕실	Bathroom
서재	Study
도입	Introduction
떠오르다	To rise, occur
바람을 쐬다	To get some fresh air
분가하다	To branch out
고가구	Antique Furniture
보료	Fancy mattress
으슬으슬 한기가 들다	To feel chilly
항아리	Jar
배를 깔고 엎드리다	To lie on one's stomach
불기	Heat
설계하다	To design, plan
맡다	To take care of
구체적으로	Detailed, definite, specific
땅	Land
들여놓다	To bring in
장점	Advantage
단점	Disadvantage
장단점	Pros and cons
조화되다	To be harmonious
심다	To plant, implant
자연 소재	Natural material
조절하다	To control, adjust, regulate
묻다	To bury
공기 순환	Air circulation
자연적으로	Naturally
일반적으로	Generally, ordinarily
맞벌이 부부	Double-income family
정이 가다	To be attached to
온돌방	Room with under-floor heating
땀이 나다	To sweat
돌이켜 보다	To look back on
얼른	Quickly
눕다	To lie down
눕히다	To lay, put something down
마르다	To become dry
장마철	Rainy season
식다	To cool down
품에 안기다	To hug (against one's bosom)
난방을 하다	To heat the house
몸살이 나다	To ache all over
공존하다	To coexist
어느새	Before we realized/ suddenly
집을 지다	To build a house
적당하다	To be right, appropriate
닿다	To reach, touch
터지다	To burst
