옷차림	Dress, attire
변화하다	To change
태도	Attitude
참하다	Gentle, pretty
발목	Ankle
눈에 띄다	To attract attention
경제 상황	Economic condition
열풍	Fashion
2차 세계대전	World War 2
옷감	Cloth, fabric
절약하다	To save
인기를 끌다	To pull popularity
세련되다	To be refined, polished
복고풍이다	To be in retro style
유행을 타다	To follow fashion
격식을 차리다	To stand on formality
실용적이다	To be practical
보수적이다	To be conservative
활동적이다	To be active
파격적이다	To be unconventional
개성적이다	To carry strong identity
신분	Identity, social standing
드러내다	To reveal
계층	Class
양반	Noble class
서민	Ordinary class
정해지다	To be decided
구별	Distinction, differentiation, discrimination
20세기 초	Beginning of the 20th century
유입되다	To come into, flow
신여성	Modern woman, new woman
추구하다	To pursue
욕구	Desire, appetite
언론	The press, media
하이힐	High heel
차려 입다	To dress up
못지않다	As much as
널리	Widely
애용되다	To become a favourite, used regularly
획기적이다	To be ground breaking
꼽다	To count, point out
등장하다	To make an entrance, appearance
노출이 심하다	To be badly exposed
거부감을 느끼다	To feel revulsion
비판하다	To criticize
주목을 받다	To receive attention
맞춤복	Custom made clothes
기성복	Ready-made clothes
이동하다	To move
대중화가 이루어지다	To achieve, accomplish popularity
꽃을 피우다	Flowers blossom
일상적이다	To be ordinary, routine
다양성	Diversity
시대상을 반영하다	To reflect the phases of time
규정하다	To stipulate
정보의 홍수	Flood of information
반응하다	To react, respond
시기별	Time, period
개화기	Time of enlightenment
광복	Independence
양장	Western clothes
복식사	History of fashion, costume
교복 자율화	Liberalization of school uniform
흔히	Often
주장	Argument
의견	Opinion
맞장구를 치다	To chime in with
화제를 바꾸다	To change the topic of conversation
표현	Expression
가리다	To distinguish, cover
보호하다	To protect
기능	Function
깨뜨리다	To break, crush, destory
일리가 있다	To have a point
사회학자	Socialist
집단	Group, body
기존의	Existing
반면(에)	On the other hand
의식 조사	Awareness/ceremonial survey
매번	Everytime
구입하다	To purchase
자기표현	Self expression
경향을 보이다	To show tendencies
전체	Entire
응답	Response
개인적인 생각	Personal thoughts
배꼽 티	Belly tee
소비 경향	Consumer tendancy
소비 심리	Consumer psychology
선호하다	To prefer
또래 집단	Peer group
과소비	Excessive consumption
고개를 젓다	To shake one's head
머리를 긁적이다	To scratch one's head
코웃음을 치다	To snort
입술을 깨물다	To bite one's lips
혀를 차다	To cluck one's tongue
목에 힘을 주다	To act arrogant
무릎을 치다	To slap one's knee in glee
발을 (동동) 구르다	To stamp one's foot in annoyance
가슴을 치다	To feel frustrated
배를 잡다	To clutch one's belly (with laughter)
유행의 홍수	A flood of fashion trends
