신도시	New town
출근하다	Attend work
개발하다	To develop
답답하다	To be stuffy
도로	Road
자리를 잡다	To settle down
강남	Gangnam
강북	Northern part of Han River
길을 잃다	To get lost
환경	Environment
인구 집중	Population concentration
교통 체증	Traffic congestion
수질 오염	Water pollution
대기 오염	Air pollution
자연 친화적	Environmentally-friendly
시민	Citizen
알리다	To notify
연설문	Text or speech
수도	Capital
전반에 걸쳐	Across the board
한편	Meanwhile
위주	First priority
남기다	To remain
벗어나다	To escape
향상시키다	To improve
예전	Former days
확보하다	To secure
우선이다	To take precedence
비해	To compare
개편	Reshuffle
실시하다	To come into effect
충실히 하다	To do something faithfully
한강변	Han Gang riverside
정비하다	To groom
흐르다	To flow
조성되다	To be created
덮이다	To be covered with
연인	Couple
체험 학습	Field trip
관찰하다	To view, observe
뛰어놀다	To run around
행사가 열리다	A activity to run
고층 빌딩	Sky scraper
문화재	Cultural heritage
전통 가옥	Traditional house
도심	Heart of the city
복원하다	To restore
보존하다	To preserve
밀려나다	To be expelled from
보행자	Pedestrian
버스 전용차로제	Bus only lane
연계하다	To be interlaced
전면적으로	Overall
노릇	Act as
아스팔트	Asphalt
시간을 끌다	To take time
기후	Climate
기준	Criteria
범죄율을 낮추다	Lower the crime rate
기본 시설	Basic facilities
성장하다	To grow up
실업률	Unemployment rate
녹지	Green belt
구성하다	To compose
요소	Element
10위 안에 들다	Be ranked among the top 10
삶의 질을 높이다	Improve quality of life
정치적 안정	Political stability
경제적 발전	Economic development
취업률	Employment rate
공공요금	Public facility charges
치안	Security
교육 여건	Educational conditions
보건 및 위생	Health and hygiene
의료 시설	Medical facilities
처리하다	To treat
수질 관리	Water quality control
편의 시설	Amenities
