명소	Attraction (exhibit)
골동품	Antique
민속박물관	Folk Museum
인파로 봄비다	To be crowded with people
즐비하다	To stand in a row
한눈에 볼 수 있다	Can be seen at a glance
사람들의 발길이 끊이지 않다	To have a constant stream of visitors
시절	Days
단체	Group
특성을 살리다	To improve one's character
확장하다	To expand
야외 공연장	Open air theatre
공연하다	To perform
소극장	Small theatre
30여 개	30+
이르다	To arrive at
취향	Taste
각종	Of every kind
자리를 잡다	To settle down
발표하다	To give a presentation
휴식 공간	Rest area
정겨움을 느끼다	To feel true to oneself
마주치다	To encounter
젖다	To get wet
나들이	Trip
먹자골목	Food stall alley
의류시장	Clothing market
전자상가	Yongsan Electronic market
문리대	The College School of Arts
관악산	Gwanak Mountain
조형물	Plastic sculpture
초대 대통령	First president
내각	Internal angle
성곽	Castle
관광안내센터	Tourist information centre
배낭여행	Backpack travel
추천하다	To recommend
도보 관광	Walking tour
몇 군데	Several places
근대	Modern times
강좌	Course
건축물	Building, structure
궁궐	Palace
공사관	Legation
벽에 부딪히다	Beat your head against the wall
깨가 쏟아지다	To be in marital bliss
찬물을 끼얹다	To throw cold water on something
사서 고생이다	To ask for trouble
뚜껑을 열어 보다	You never know (until you see the result)
바가지를 긁다	To henpeck
미역국을 먹다	To fail a test
가뭄에 콩 나듯한다	Once in a blue moon
강 건너 불 보듯한다	Look on with indifference
다람쥐 쳇바퀴 돌 듯한다	Go round in circles
