낭비하다	to waste (water, time)
대기 오염	air pollution
매연	exhaust,
버리다	to throw away (a can, trash)
환경	environment
보호하다	to protect (the environment)
수질 오염	water pollution
종이	paper
아끼다	to conserve (paper, water, time)
오염되다	to be polluted
이상 기후	abnormal climate
일회용품	single-use product
재활용하다	to reuse/recycle (a glass bottle)
음식물 쓰레기	food scraps
줄이다	to reduce
중단되다	to be cut-off/suspended
지구 온난화	global warming
토양 오염	ground/soil pollution
파괴되다	to be destroyed
폐수	waste water
취소하다	to be canceled
해결되다	to be solved
환경 오염	environmental pollution
제품	product
붙잡다	to hold onto, to grab
덮이다	to be covered
정전이 되다	to power to go out
전쟁이 나다	to have a war begin
사용법	way to use
낡다	to be old, shabby, worn out
멀쩡하다	to be intact
쓰레기	trash
더미	pile (of something)
저절로	on its own
쌓아 두다	to pile up and leave (something)
지저분하다	to be messy
양	amount
의심하다	to be suspicious of
강물	river water
비바람	(wind and) rain storm
마비되다	to be paralyzed
캠페인	campaign
비닐봉지	plastic bag
장바구니	shopping basket
썩다	to decay, rot
자가용	(one's own) car
오염시키다	to make something polluted
인체	human boy
해롭다	to be harmful
성분	component
숲	woods
온천	hot spring
주민	citizen
시위를 벌이다	to have a protest break out
생활 하수	sewage
식수	drinking water
환경 단체	environmental organization
흘러 들어가다	to flow into
북극	Arctic
남극	Antarctic
생물	organism; life
두께	thickness
빙하	glacier
녹다	to melt
물개	fur seal
북극곰	polar bear
반사하다	to reflect
흡수하다	to absorb
해수면	sea level
해안 도시	ocean-side city
잠기다	to sink
중고품	used item
시민 단체	citizens' organization
기증받다	to receive donations
운영하다	to run/operate
농작물	agricultural crop
농약	pesticide (~뿌리다)
뿌리다	to spray (농약을 ~)
호흡기	respiratory
질환	disorder, illness
자원	resource
검사하다	to inspect
물질	material, matter, substance
시위하다	to hold a demonstration
격려하다	to encourage
마음잡다	to regain one's composure/settle down
월급을 올려 주다	to raise someone's monthly pay
손전등	flashlight
진지하다	to be serious
잔소리가 많다	to be nagging
관람객	spectator
선반	shelf
답 메일	reply mail
눈치를 채다	to realize compare, become aware of, take hint of
수돗물	tap water
실업	unemployment
발명하다	to invent
도둑이 들다	to be robbed
