감소하다	to decrease (not 줄어들다)
경쟁률	competition rate
내리다	to go down
~는 것으로 나타나다	to appear (as a~)
늘어나다	to increase/grow
~다고 응답하다	to response (that~)
~다는 대답이 ~을 차지하다	to (have responses that say~) take the position of
비율	ratio, proportion
오르다	to go up
~는지에 대해 질문하다	to ask about (whether)
~을 대상으로 조사하다	to survey/study (something)
인상되다	to be raised/increased
인상률	rate of increase
인하되다	to be lowered
줄어들다	to decrease (not 감소하다)
확률	probability
환율	exchange rate
쾌활하다	to be cheerful
기름값	oil/gas prices
엄하다	to be strict
시간 가는 줄 모르다	to have time pass without knowing
한	approximately (=약)
만만치 않다	to not be trivial
씀씀이	expenditures:spending
인건비	personnel expenses;payroll
의대	medical school
법대	law school
가정	family (not 가족), home, household
부담이 늘다	to have an increase in burden
자격증을 따다	to get a certificate/license
돌아다니다	to go around, to roam
고아원	orphanage
제대로	properly
안정적이다	to be stable
조화를 이루다	to achieve harmony
피하다	to avoid
현실	reality
반영하다	to reflect
인상(이) 깊다	to have  a deep impression
일반적이다	to be normal/regular
꼽다	to count
존댓말	honorific language
웃어른	elder neighbor
공경하다	to respect/honor
문화재	cultural treasure
인상을 받다	to get/receive an impression
미인형	beautiful type for women
미남형	handsome type for men
신체 구조	body structure
계산하다	to calculate
배꼽	bellybutton
위치	location
재다	to measure
가로	horizontal
세로	vertical
이상적이다	to be ideal
합창단	chorus, choir
구성	composition, makeup
소프라노	soprano
알토	alto
테너	tenor
베이스	bass
포털 사이트	portal site
상당수	a considerable number
복수 응답	plural response
지식을 쌓다	to accumulate knowledge
사회성을 기르다	to cultivate social skills
순	order
동그랗다	to be circular/spherical
박자에 맞추다	to follow the rhythm
표시하다	to mark/indicate
길이 엇갈리다	to miss each other on the way
종잇조각	piece of paper
부담스럽다	to be burdensome
다이아몬드	diamond
미역국	Korean seaweed soup
환상	fantasy
