각이 지다	to be angular
갸름하다	to be slender
곱슬머리	curly hair
날카롭다	to be sharp
납작하다	to be flat
넓적하다	to be broad and flat
단발머리	bobbed hair
단정하다	to be tidy
도수	degree
도톰하다	to be nice and thick
막걸리	Korean rice wine
머리가 부스스하다	to be messy
머리가 뻗치다	to be inappropriately stretched out
머리를 땋다	to braid one’s hair
머리숱	thickness of hair
면도하다	to shave
목도리	muffler
빗질하다	combing one’s hair
뾰족하다	to be pointed
상냥하다	to be kind
생머리	natural straight hair
실망스럽다	disappointing
오뚝하다	to be high
옷차림	one’s attire
윗도리	upper garment
유난히	exceptionally
의심스럽다	doubtful
자상하다	to be thoughtful
잔잔하다	to be quiet
전형적	typical
파마머리	permed hair
한결같다	to be consistent
