공연하다	to perform
과장	head of division
교향악단	orchestra
균형	balance
남짓	a little over
띠다	to have (feeling or color)
발휘하다	to sow one’s ability
부장	head of a department
사고방식	one’s way of thinking
사무총장	secretary general
수상하다	to award a prize
시향	municipal orchestra
아울러	at the same time
업적	work
연주하다	to play (music)
연주회	concert, recital
열정	passion
위대하다	to be great
입상하다	to win a prize
재능	ability
주최하다	to host
지휘하다	to conduct
진로	course
진정	one's true sentiments
참여하다	to participate
콩쿠르	contest
평사원	mere clerk
협연하다	to perform with
협찬하다	to sponsor
후원하다	to support
훈장	medal
