감추다	to hide
고민	worry
곱다	to be pretty
구석	inside corner
귀양 보내다	to condemn a person exile
나룻배	ferryboat
놀리다	to tease
눈길	a glance
두근두근	pit a pat
따치다	to distinguish between right and wrong
바짝바짝	Completly dy up
반하다	to fall in love
밟다	to step on
벗어지다	to lose one’s hair
베	hemp cloth
부담스럽다	to be a burden
뺏기다	to lose
사위	son in law
선수	master
설레다	to throb
순수하다	to be pure
신경을 쓰다	to mind
안타깝다	to be pitiful
엉망	mess
영리하다	to be clever
영원하다	to be forever
오작교	a bridge believed to be built by magpies and crows in the milky way
온하수	the Milky Way
음력	The lunar calender
지경	situation
질투	jealousy
짐승	beast
짚신도 짝이 있다	every jack has jills
짜다	to weaven
짝사랑	a one sided love
천생연분이다	to be a match made in heaven
첫눈에 반하다	to love at first sight
첫사랑	first love
초대권	invitation
칠월 칠석	the 7th day of the 7th lunar month
눈에 콩깍지가 씌다	to be blinded by love
풋사랑	puppy love
헌신적이다	to be devoted
화끈화끈	burning
