가부장 제도	patriarchism
가장	head of a family
간접적	indirect
개개인	each and every person
개성	individuality
계승되다	to be succeeded
공동체	community
구성원	member
권리	right
권위가 있다	to have authority
기러기	wild goose
긴장하다	to get nervous
다문화	multicultural
다정하다	to be kind
단독	separate
대를 잇다	to carry on a family line
대가족	a big family
동거	living together
동등하다	to be equal
보편적	universal
부권	paternal rights
부양	support
분가하다	to establish oneself in a new family
산소	grave
상	mourning
상처	wound
소득	income
소중하다	to be important
약화되다	to be weak
오해	misunderstanding
의무	duty
의식	consciousness
인정되다	to be recognized
일반적	general
입양하다	to adopt
자녀	children
재혼	remarriage
전통적	traditional
절대적	absolute
제도	system
존중하다	to respect
증대되다	to be enlarged
지원	support
지출	expense
짜증	annoyance
창의성	creativity
행가족	nuclear family
혈연 의식	kinship by ties
형성되다	to be formed
형태	form, shape
화목하다	to be in harmony
효도를 하다	to be good to one’s parents
