개설하다	to establish
결혼이주여성	migrant women by international marriage
고령화	aging population
공고하다	to give out a public notice
과제	task
관내	jurisdiction
교류	exchange
급격히	abruptly
답답하다	to feel heavy in the chest
도모하다	to plan
만	full(year, month etc.)
모집	recruitment
문의	inquiry
방안	plan
보육비	cost of child care
비만	obesity
사업	business
사항	matter
선착순	first come first served basis
손쉽다	to be easy
수강료	tuition
시기	time, period
실제	reality
심사	judging
안건	item on the agenda
운영하다	to operate
인원	number of persons
일반	general
일시	the date and hour
장려하다	to encourage
재료비	cost of material
저소득층	low-income group
저출산	low birthrate
적응	adaptation
제공하다	to provide
제안하다	to propose
제외되다	to be excluded
조	team
지원하다	to support
참조	reference
첨부물	attatchment
체험 학습	educational activity through experience
총	total
출산율	birthrate
친목	friendship
해당자	a person who is relevant to the condition or situation
협조	cooperation
효율적	efficient
