각종	various kinds
경쟁적	competition
공무원	public official
구직자	job seeker
주체적	concrete
금융업	Financial level
급여 수준	wage level
기울이다	to devote oneself to something
끌다	to attract
낯설다	to be unfamiliar
담당하다	to take charge of
등장하다	to appear
마치	just like
바람직하다	to be desirable
번역가	translator
변천	changes
부담	burden
분류	classification
분야	field
분위기	atmosphere
사업가	Business
사회적 인정	social approval
살피다	to tale a good look at
상당하다	to be considerable
상여금	bonus
새삼	anew
설치되다	to be installed
성장	growth
소멸	Extinguishment
수당	extra pay
수행하다	to accomplish
인정적	stable
억지로	by force
업무	duty
여가 시간	free time
연봉	Annual salary
월급	monthly salary
웹 마스터	webmaster
유망하다	to be promising
일당	daily allowance
일반화되다	to be generalized
자격증	License
자기 개발	Improvement
자동화 기기	Automation equipment
적성	aptitude
전망	view
전반	The whole
정보 기술	information technology
제조업	Manufacturing industry
종사하다	to attend to one’s work
좌담회	Round-table talk
주급	Weekly wage
집중	concentration
취업하다	to get a job
컴퓨터 그래픽 디자이너	Computer graphic designer
탄생	birth
통역사	Interpreter
프로그래머	programmer
하소연	complaint
행선지	One's destination
