개발	development
개별	individual
결격 사유	reasons of disqualification
기타	the others
끊임없이	constantly
면접	interview
면제자	a person exempted from military duty
모집 공고	(official) announcement of recruitment
반환하다	to give back
병역	military duties at a national defense
부문	group
사본	copy
사항	facts
서류 전형	selection pf candidates by examining their career papers
선배	senior
성적 증명서	Certificate of academic record
영업	sales
원서	application
이력서	resume
인재	talented person
일체	all
입사 지원서	job application
자격	Eligibility
자세	posture
전형	screening
절차	procedures
제출	submission
조정하다	to settle
졸업 증명서	certificate of graduation
주민 등록 등본	Transcript of resident registrationn
주식회사	stock company
지원	application
지원서 제출	submission of an application
채용	recruitment
추후	later
출장	Business trip
취직	employment
통	counting unit for letters
통지	notice
필	being finished
필기시험	a written test
한창	the prime
한하다	to limit
향상시키다	to make improve
확장	extension
후회	regret
