각오	determination
감정적이다	to be emotional
감탄하다	to admire
강인하다	to be strong and tough
게으르다	to be lazy
과연	as expected
기질	disposition
몸에 배다	to become habituated
무뚝뚝하다	to be blunt
무표정	to be expressionless
미운 정 고운 정이 들다	to become intimate having mixed feelings of love and hate
부지런하다	to be hard working
불쑥	Suddenly
사양하다	to decline in favor of another
신증하다	to be cautious
양보하다	to concede
어렴풋이	Dimly
역동적	Dynamic
열정적이다	to be passionate
옥탑방	Rooftop
인상적	impressive
잔뜩	fully
정들자 이별이다	to farewell right ager becoming intimate
진지하다	to be sincere
통째로	wholly
활기차다	to be active
