가지런히	Neatly
간결하다	to be brief and to be point
꼬부라지다	to be bent
나뭇결	the grain
목공예품	woodcraft
목재	wood
백자	White porcelain
분재	Dwarfed potted plant
세련되다	to be polished
소박하다	to be simple
여백	blank
연꽃	lotus
연적	Water dropper for preparing ink
오르지	solely
유독	uniquely
유물	relics
은은하다	to be soft
인공적	artificial
일그러지다	to be distorted
자연스럽다	to be natural
자체	Itself
정교하다	to be elaborate
정원	garden
청자	Celadon porcelain
촌스럽다	countrified
최소한	the minimum
추구하다	to pursue
축소하다	to reduce
파격	breaking the rules
항아리	jar
화려하다	to be splendid
