,0,1
0,각이 지다,to be angular
1,갸름하다,to be slender
2,곱슬머리,curly hair
3,날카롭다,to be sharp
4,납작하다,to be flat
5,넓적하다,to be broad and flat
6,단발머리,bobbed hair
7,단정하다,to be tidy
8,도수,degree
9,도톰하다,to be nice and thick
10,막걸리,Korean rice wine
11,머리가 부스스하다,to be messy
12,머리가 뻗치다,to be inappropriately stretched out
13,머리를 땋다,to braid one’s hair
14,머리숱,thickness of hair
15,면도하다,to shave
16,목도리,muffler
17,빗질하다,combing one’s hair
18,뾰족하다,to be pointed
19,상냥하다,to be kind
20,생머리,natural straight hair
21,실망스럽다,disappointing
22,오뚝하다,to be high
23,옷차림,one’s attire
24,윗도리,upper garment
25,유난히,exceptionally
26,의심스럽다,doubtful
27,자상하다,to be thoughtful
28,잔잔하다,to be quiet
29,전형적,typical
30,파마머리,permed hair
31,한결같다,to be consistent
0,각종,various kinds
1,경쟁적,competition
2,공무원,public official
3,구직자,job seeker
4,주체적,concrete
5,금융업,Financial level
6,급여 수준,wage level
7,기울이다,to devote oneself to something
8,끌다,to attract
9,낯설다,to be unfamiliar
10,담당하다,to take charge of
11,등장하다,to appear
12,마치,just like
13,바람직하다,to be desirable
14,번역가,translator
15,변천,changes
16,부담,burden
17,분류,classification
18,분야,field
19,분위기,atmosphere
20,사업가,Business
21,사회적 인정,social approval
22,살피다,to tale a good look at
23,상당하다,to be considerable
24,상여금,bonus
25,새삼,anew
26,설치되다,to be installed
27,성장,growth
28,소멸,Extinguishment
29,수당,extra pay
30,수행하다,to accomplish
31,인정적,stable
32,억지로,by force
33,업무,duty
34,여가 시간,free time
35,연봉,Annual salary
36,월급,monthly salary
37,웹 마스터,webmaster
38,유망하다,to be promising
39,일당,daily allowance
40,일반화되다,to be generalized
41,자격증,License
42,자기 개발,Improvement
43,자동화 기기,Automation equipment
44,적성,aptitude
45,전망,view
46,전반,The whole
47,정보 기술,information technology
48,제조업,Manufacturing industry
49,종사하다,to attend to one’s work
50,좌담회,Round-table talk
51,주급,Weekly wage
52,집중,concentration
53,취업하다,to get a job
54,컴퓨터 그래픽 디자이너,Computer graphic designer
55,탄생,birth
56,통역사,Interpreter
57,프로그래머,programmer
58,하소연,complaint
59,행선지,One's destination
0,공연하다,to perform
1,과장,head of division
2,교향악단,orchestra
3,균형,balance
4,남짓,a little over
5,띠다,to have (feeling or color)
6,발휘하다,to sow one’s ability
7,부장,head of a department
8,사고방식,one’s way of thinking
9,사무총장,secretary general
10,수상하다,to award a prize
11,시향,municipal orchestra
12,아울러,at the same time
13,업적,work
14,연주하다,to play (music)
15,연주회,"concert, recital"
16,열정,passion
17,위대하다,to be great
18,입상하다,to win a prize
19,재능,ability
20,주최하다,to host
21,지휘하다,to conduct
22,진로,course
23,진정,one's true sentiments
24,참여하다,to participate
25,콩쿠르,contest
26,평사원,mere clerk
27,협연하다,to perform with
28,협찬하다,to sponsor
29,후원하다,to support
30,훈장,medal
0,개발,development
1,개별,individual
2,결격 사유,reasons of disqualification
3,기타,the others
4,끊임없이,constantly
5,면접,interview
6,면제자,a person exempted from military duty
7,모집 공고,(official) announcement of recruitment
8,반환하다,to give back
9,병역,military duties at a national defense
10,부문,group
11,사본,copy
12,사항,facts
13,서류 전형,selection pf candidates by examining their career papers
14,선배,senior
15,성적 증명서,Certificate of academic record
16,영업,sales
17,원서,application
18,이력서,resume
19,인재,talented person
20,일체,all
21,입사 지원서,job application
22,자격,Eligibility
23,자세,posture
24,전형,screening
25,절차,procedures
26,제출,submission
27,조정하다,to settle
28,졸업 증명서,certificate of graduation
29,주민 등록 등본,Transcript of resident registrationn
30,주식회사,stock company
31,지원,application
32,지원서 제출,submission of an application
33,채용,recruitment
34,추후,later
35,출장,Business trip
36,취직,employment
37,통,counting unit for letters
38,통지,notice
39,필,being finished
40,필기시험,a written test
41,한창,the prime
42,한하다,to limit
43,향상시키다,to make improve
44,확장,extension
45,후회,regret
0,감추다,to hide
1,고민,worry
2,곱다,to be pretty
3,구석,inside corner
4,귀양 보내다,to condemn a person exile
5,나룻배,ferryboat
6,놀리다,to tease
7,눈길,a glance
8,두근두근,pit a pat
9,따치다,to distinguish between right and wrong
10,바짝바짝,Completly dy up
11,반하다,to fall in love
12,밟다,to step on
13,벗어지다,to lose one’s hair
14,베,hemp cloth
15,부담스럽다,to be a burden
16,뺏기다,to lose
17,사위,son in law
18,선수,master
19,설레다,to throb
20,순수하다,to be pure
21,신경을 쓰다,to mind
22,안타깝다,to be pitiful
23,엉망,mess
24,영리하다,to be clever
25,영원하다,to be forever
26,오작교,a bridge believed to be built by magpies and crows in the milky way
27,온하수,the Milky Way
28,음력,The lunar calender
29,지경,situation
30,질투,jealousy
31,짐승,beast
32,짚신도 짝이 있다,every jack has jills
33,짜다,to weaven
34,짝사랑,a one sided love
35,천생연분이다,to be a match made in heaven
36,첫눈에 반하다,to love at first sight
37,첫사랑,first love
38,초대권,invitation
39,칠월 칠석,the 7th day of the 7th lunar month
40,눈에 콩깍지가 씌다,to be blinded by love
41,풋사랑,puppy love
42,헌신적이다,to be devoted
43,화끈화끈,burning
0,경쟁심,competitive mind
1,관대하다,to be generous
2,구분되다,to be classified
3,까다롭다,to be hard to please
4,꼼꼼하다,to be careful
5,낙관적,optimistic
6,내성적이다,to be reflective
7,냉정하다,to be cold
8,느긋하다,to be relaxed
