공공의 이익	Public interest
국민의 알 권리	The people's right to know
화제가 되다	To become a topic of conversation
명예	Honor
인권을 존중하다	To respect human rights
침해하다	To infringe
보호하다	To protect
사생활	Private life
초상권	Portrait
신상 정보가 유출되다	One's personal information is leaked
범죄 예방 효과가 있다	Have a preventative effect
대중의 호기심을 만족시키다	Satisfy the public's curiosity
사적인 자리	Private place
거절하다	To refuse
감수하다	To bear
일터	Workplace
허락하다	To allow
공개되다	To go public
설치되다	To be set up
거짓 주장	False claim
체벌하다	To inflict corporate punishment
권위를 지키다	To maintain one's authority
흘러나오다	To flow out
사형	Death penalty
확정되다	To be settled
판결	Court decision
조각내다	To debunk something
발신인	Sender, caller
주간지	Weekly magazine
발행되다	To be issued
기사가 열 쪽에 걸쳐 실리다	An article running on 10 pages
재구성하다	To reconstitute
뒤를 잇다	To succeed
은퇴	Retirement
전학	To transfer schools
신분	Position, status, identity
방식	Method
복사본	Copy
배포되다	To come into circulation
범죄자	Criminal
범죄를 저지르다	To commit a crime
공익	Public benefit
보도	Report
뉴스를 접하다	To receive news
엿보다	To peek out
충돌하다	To come into conflict
필연적으로	Inevitably
연쇄 살인 사건	Serial murder case
요구하다	To request
흉악범	Brutal crime
성폭력	Sexual violence
제도를 시행하다	To enforce a system
비판을 받다	To receive criticism
그럼에도 불구하고	None the less
갈등을 일으키다	To cause conflicts
우선시하다	To prioritize
더불어	Along with
공동체	Community
납치	Kidnapping
결정적인 역할을 하다	To play a decisive role
끊임없이	Without a break
책임을 다하다	To take responsibility
근거	Basis
희망을 앗아 가다	Deprive of hope
입을 꾹 다물다	To button one's lips
플래시	A flashlight
재앙	Disaster
전문	Full text
조명하다	To shed light on
평전	Critical biography
현장 검증	Field inspection
대미를 장식하다	For the grand finale
검정고시	Qualification examination
다재다능하다	To be versatile
동병상련이다	People in difficult situations help and sympathize with each other
이심전심이다	Read each other's mind (be really close)
정정당당하다	A clear and correct attitude
