아련하다	To steal a glance at
애절하다	To be pathetic
애틋하다	To be worried, pathetic
풋풋하다	To be fresh
서먹서먹하다	To feel awkward
쑥스럽다	To be shy, bashful
안타깝다	To be regrettable
그리워지다	To miss, long for
애(가) 타다	To give birth
감정이 복받치다	To feel a surge of emotion
가슴이 뛰다	One's heart leaps
가슴이 저리다	To feel numb
가슴이 찢어지다	To feel heart broken
추억을 떠올리다	To recall memories
심장이 멎는 것 같다	Heart feels like its about to stop
작품	Work, piece
소녀	Girl
소년	Boy
섬세하다	To be delicate
세밀하다	To be detailed, elaborate
묘사하다	To describe
담담하다	To be calm, composed
재창작되다	To be re-opened
향수	Homesickness
순수하다	To be pure
분석하다	To analyze
통일되다	To be unified
거칠다	To be rough
짐작하다	To guess
직장 생활	Professional life
상사	Boss
딴소리를 하다	To talk nonsense
말을 걸다	To start a conversation
눈길을 피하다	To avert one's eyes
깊숙이	Deep down
정취	Atmosphere, flavour
유년기	Childhood
소나기	Shower
던지다	To throw
앓다	To be ill
얼룩이 묻다	To be stained
개울가	By the brook
조약돌	Pebble
도랑	Ditch
대기만성이다	To be full of hot air
승승장구하다	To make a successful start
전화위복이다	To be a blessing in disguise
칠전팔기	To fall seven times, rise 8 times
