폭	Width, fully
수요	Demand
공급	Supply
수입	Import
수출	Export
외	Addition
물가 상승률	The rate of inflation
이용객	Users
고유가 시대	The era of high oil prices
곡물	Cereal crops
휘발유	Petrol
경유	Diesel oil
등유	Paraffin
생필품	Daily necessity products
농산물	Agricultural products
수산물	Aquatic produce
공산품	Industrial products
생산자	Producer
소비자	Consumer
호황	Economic boom
불황	Economic depression/ recession
호경기	Economic prosperity
불경기	Bad economic times
소비가 늘다	Increase in spending
줄다	Decrease
물가가 오르다	Prices rise
내리다	Fall
가격이 상승하다	Rise in price
하락하다	To take a tumble
가격이 폭등하다	Prices sour
폭락하다	Take a nose dive
소득이 증가하다	To gain income
감소하다	Decline
생산량	Volume of production
구매력이 높아지다	To increase one's purchasing power
인상하다	To rise
인하하다	To fall
구매하다	To purchase
품목	Item
전염병	Infectious disease
휴가철을 맞다	To be on vacation
벌어들이다	To make a profit
공공요금	Utility changes
폭우	Heavy rain
당첨되다	To win
구입하다	To purchase
가공 식품	Processed food
빠져나가다	To escape, evade
세금	Tax
냉해	Cold weather damage
복원	Restoration
허둥지둥	In a flurry
상품	Merchandise
청취자	Listener
보완재	Supplementary goods
보완 관계	Supplementary relationship
대체재	Substitute goods
대체 관계	Alternative relationships
보충하다	To supplement
바늘 가는 데 실 간다	To be inseperable
과정을 거치다	To undergo a process
적절하게	In due course
조정되다	To be coordinated
용어	Terminology
유익하다	To be useful, helpful
예년	The past year
평균	Average
미치다	To reach
대조적이다	To be in contrast
예측하다	To make a prediction
초과되다	To be in excess
비탄력적이다	To be inflexible
탄력적이다	To be resilient
제약	Restriction
불가능하다	To be impossible
한창	Height, summit
시차	Time difference
주기적으로	Periodically
초과 공급	Excess supply
초과 수요	Excess demand
불안정하다	To be unstable
대책을 마련하다	To come up with a plan
유통	Distribution
안정시키다	To set at ease
손해를 입다	To make a loss
손해를 보다	To see damage
손해가 나다	To suffer damage
제한하다	To limit
취업난을 겪다	To suffer from unemployment
분식	Flour based food
버터	Butter
마가린	Margarine
울상이다	To be about to cry
배추 한 포기	One head of cabbage
턱없이	Beyond measure
조류 독감	Bird flu
학과 정원	An entrance quota
사재기	Boarding
가격이 치솟다	Price goes up
