공정 무역	Fair Trade
다국적 기업	A multinational enterprise
대기업	Conglomerate
중소기업	Medium and small sized businesses
국산(품)	Domestic (goods)
외제	Foreign goods
수입품	Imported goods
수출품	Exported goods
무역 흑자	A trade surplus
무역 적자	A trade deficit
선진국	Advanced country
개발 도상국	Developing country
저개발국	Underdeveloped country
사업에 투자하다	To invest in business
경제 협력을 증진하다	To promote economic cooperation
원조(를) 하다	To help out
원조(를) 받다	To receive assistance
해외에 진출하다	To advance abroad
해외에 투자하다	To invest abroad
원화	Korean won
달러 가치가 올라가다	Value of the dollar increases
떨어지다	To fall
환율이 상승하다	Rising exchange rate
하락하다	To take a tumble
변동하다	To change, fluctuate
선정하다	To select, choose
향기롭다	To be fragrant, aromatic
진하다	To thicken, darken
재배하다	To cultivate, grow
가난에서 벗어나다	To emerge from poverty
진출하다	To advance, emerge
불공정하다	To be unfair
품질	Product quality
경쟁력이 있다	To be competitive
가정 형편이 어렵다	To be in needy circumstances
외교관	Diplomat
고통을 받다	To suffer pain
주거비	House costs
제자리걸음을 하다	To keep one's feet on the ground
이야기가 펼쳐지다	A story unfolds
네팔	Nepal
향기를 담다	To express fragrance
커피 원두	Coffee beans
상세 정보	Detailed information
상품평	Commercial review
배송	Shipping
교환	Exchange
반품	To return an item
원산지	Country of origin
운송 수단	Means of transport
손쉽게	Very easily
수익을 올리다	To make a profit
노동력	Labor force
운반하다	To transport
이익을 얻다	To make a profit
생계를 이어나가다	To make a living
임금	Wage
도달하다	To arrive, reach
비용	Cost
이상	More than
이하	Less than
가정하다	To suppose, assume
인건비	Personal expense
포함되다	To be included
의의	Meaning
보장하다	To guarantee
자립하다	To be self-reliant
구상하다	To plan, design
정당하다	To be fair
지불하다	To make a payment
장기적 관점에서 보다	From a long term perspective
일방적이다	To be one-sided
개념	Concept
대가	Pay
지급하다	To give, provide
협력의 관계를 맺다	To form a cooperative relationship
제외하다	To make an exception, exclude
일부러	Deliberately
불과하다	To be nothing more than
대립적이다	To be opposing
모색하다	To seek, find
시도	Try, attempt
베풀다	To have mercy
인식(의) 전환	Change of awareness or cognition
현황	Present condition
배경	Background
전망	Outlook
대형 매장	A large store
저렴하다	To be cheap
저소득층	Low income bracket
적정 가격	A reasonable price
장신구	An ornament
도자기	Pottery
미미한 수준	To a minor degree
돈방석에 앉다	To be rolling in money
목이 빠지다	To wait impatiently for
발 디딜 틈이 없다	To be jam packed
배가 등에 붙다	To be starving because there is no food
배가 터지다	Stomach bursts
상다리가 부러지다	To load the table with lots of food
손가락을 빨다	To be so broke you can't do anything
(월급이) 쥐꼬리만하다	To have a small salary
파리만 날리다	To not have a lot of business
허리띠를 졸라매다	To tighten one's belt
