전시장	Former manager
관람객	Visitor
치매	Alzheimer's disease
담장	Wall
미대생	Arts school student
선보이다	To show off
시위	Protest
감상적 목적	Sentimental purposes
미적 상상력	Aesthetic imagination
정서적 안정	Emotional stability
접목시키다	To graft
창의적이다	To be creative
마음이 정화되다	To purify one's mind
매개체가 되다	To become a medium
실용성이 있다	To be useful
실생활에 응용하다	To apply in real life
치료에 활용하다	To use for treatment
내면을 들여다보다	To look inside oneself
동질감을 느끼다	To feel the same
사회를 비판하다	To criticize society
스트레스를 해소하다	To relieve stress
작품을 감상하다	To appreciate a piece of work
꾸미다	To decorate
대상	Target
순수 예술	Pure art
서툴다	To be clumsy
도구	Tool
기능	Function
응용하다	To apply
잘잘못을 따지다	To judge right from wrong
환자	Patient
인테리어	Interior design
한결	Much more
진행하다	To procede
극본	Dramatic script
기획	Planning
연출	Director
무대	Stage
공연	Public performance
현장의 열기가 뜨겁다	The heat of the scene is hot
수확	Harvest
수집하다	To collect, gather
우울증	Depression
악기	Musical instrument
두드리다	To knock, tap
완화시키다	To relax, ease off
정신 질환	Psychiatric disorders
성인	Adult
일반인	Ordinary person
널리	Widely
치다	To hit, strike
불다	To blow
교감하다	To commune, share feelings
치유하다	To heal
근육 운동	Muscular exercise
활성화시키다	To activate
신체적 기능	Bodily functions
향상시키다	To improve
긴장을 풀다	To relieve anxiety
작용을 하다	To work
동질성	Uniformity
효과를 거두다	To bring about an effect
해당되다	To be relevant, applicable
발달 장애 아동	Developmental disorder child
뇌성마비	Cerebral palsy
자폐증	Autism
실로폰	Xylophone
드럼	Drum
하모니카	Harmonica
리코더	Music recorder
쇼팽	Fryderyk Franciszek Chopin
발라드	Ballad
모차르트	Wolfgang Amadeus Mozart
교향곡	Symphony
