건축물	Building
직선	A straight line
곡선	A curved line
원형	Circle
반원형	Semi-circle
정사각형	Square
직사각형	Rectangle
삼각형	Triangle
정육면체	A cube
직육면체	A cuboid
간결하다	To be concise
단아하다	To be graceful, elegant
독특하다	To be unique
섬세하다	To be delicate
아늑하다	To be cosy
압도되다	To be overwhelmed
완벽하다	To be perfect
웅장하다	To be awesome, grand
정교하다	To be exquisite
화려하다	To be magnificent
소박하다	To be simple
길쭉하다	To be long
동그랗다	To be round
네모나다	To be square
대칭을 이루다	To be symmetrical
전율을 느끼다	To feel a thrill
조화를 이루다	To be in harmony
분위기가 신비롭다	The atmosphere is mysterious
조형미가 뛰어나다	To be in excellent form
강렬한 인상을 남기다	To leave a strong impression
경외감을 불러일으키다	To arouse awe
고스란히	In it's entirety
유명	Famous
돌아보다	To look around
외양	Outward appearance
인상	Impression
전통미	Traditional beauty
가득하다	To be full of
건축가	Architect
창조	Creation
공간을 나누다	To divide up space
치우치다	To turn aside
설계하다	To design
안팎	Inside and outside
변수	Variable
실내	Indoor
환기를 시키다	To ventilate
소음	Noise
내부 공간	Internal space
외부	Outside
모양	Shape
크기	Size
강렬하다	To have a fit
두말할 필요가 없다	Of course
작업실	Work room
모순	Contradiction
눈높이	Eye level
사계절	Four seasons
풍경화	Landscape painting
붉다	To be red, scarlet
감싸안다	To embrace
겹쳐지다	To overlap
동시에	At the same time
엿보다	To peep, peek
묘사하다	To describe, portray
통과하다	To pass through
분리되다	To be divided
정겹다	To be warm, affectionate
이어지다	To be connected to
받치다	To support, hold up
공중에 떠 있다	To float in the air
형상	Shape 2
바람이 통하다	To have a good wind
여름 한철	Summer season
지혜	Wisdom
사각형 무늬	A square pattern
온돌	Under floor heating
(마음이) 든든하다	To feel secure
울긋불긋하다	To be colorful
물들다	To be tinged
단풍	Maple
감싸다	To encase
고요하다	To be quiet
넉넉하다	To be sufficient
반기다	To welcome
화두	A hot topic
가늠하다	To weigh up
흡사하다	To be similar
창을 내다	To make a window
액자	Frame
후원	Back garden
등재되다	To be listed
연못	Pond
앞마당	Front yard
사랑채	Love ache
안채	Main building
나지막하다	To be low
지붕	Roof
떠받치다	To back up, support
기둥	Pillar
대청마루	Main floor of hanok
뒤뜰	The backs
문이 나다	A door opens
내다보이다	To look out
뒷마당	Back yard
주춧돌	Foundation stone
문살	The frame of a paper sliding door
수를 놓다	To embroider
소매 선	Sleeve line
아궁이	Furnace
불을 때다	To heat a fire
디딤돌	Stepping stone
군더더기(가) 없다	There is not much of a heap
우뚝 서다	To stand tall
병풍	Folding screen
계란으로 바위 치기다	To be a mouse fighting a gorilla
내 코가 석 자다	To have one's own fish to fry
도토리 키 재기다	To compare the height of acorns
땅 짚고 헤엄치기다	Its a piece of cake
밑 빠진 독에 물 붓기다	It will be like throwing water on thirsty soil
빛 좋은 개살구다	To be fool's gold
싼 게 비지떡이다	You get what you pay for
우물 안 개구리다	A big frog in a small pond
울며 겨자 먹기로/다	To grin and bear it
티끌 모아 태산이다	Little drops of water make a mighty ocean
궁궐	Palace
후원	Small back garden
나무 기둥	Wooden column
뜰	Garden
반겨 주다	To treat someone favourably
문관	A civil servant
무관	A military attach
학문을 연마하다	To study hard
과거를 급제하다	To take a civil servant exam
치하하다	To receive commendation
연회를 베풀다	To have a party
품격	Dignity
논	Paddy
수고로움	Solitude
하늘의 이치를 어기다	To violate the principles of heaven
자기수련	Self-training
