동기	Motive
서열	Order
학번	Class year
동갑	Same age
동년배	Same age 2
또래	Peerage
가부장적이다	To be patriarchal
예의에 어긋나다	To go against etiquette
호칭	Title
혈연관계	Blood relationship
연령 제한	Age limit
권위적이다	To be authoritative
말을 높이다	To speak high
말을 놓다	To talk down
결혼 적령기	Marriageable age
상하 관계	Relationship between superiors and subordinates
유교적 전통	Confucian tradition
실례가 되다	To be rude
유교 문화가 반영되다	To reflect Confucian culture
위계질서를 중시하다	To value hierarchy
나이 대	Age group
연배가 같다	To be about the same age group
당황스럽다	To be embarassed
반말을 하다	To speak in informal language
조상	Ancestor
제사를 지내다	To perform ancestral rights
관습	Custom
복종하다	To obey
신입생	Freshman
술을 따르다	To pour wine
귀국하다	To come home
짐	Luggage
승진하다	To be promoted
일등하다	To take first place
언짢다	To be displeased
띠	Chinese Zodiac Sign
우회적으로	In a roundabout way
찬물도 위 아래가 있다	There is a proper order for everything
속담	Proverb
자기들더러	To them
경향이 있다	To have a tendency
밀접하다	To be intimate
아랫사람	One's juniors
윗사람	One's seniors
엄격하다	To be strict
질서	Public order
공경하다	To respect
경로석	Seats reserved for senior citizens
얼굴을 돌리다	To turn one's face around
전해지다	To be handed down, to be conveyed
본격적으로	To be real, earnest, genuine
관련성이 깊다	To be highly relevant
바탕이 되다	To form the foundation
수직적 대인 관계	Vertical interpersonal relationships
확장되다	To expand
분명하다	To be obvious
높임말	Honorific
진지	Meal
격식적이다	To be formal
친밀하다	To be close, intimate
구분 짓다	To make a separation
결론을 내리다	To come to a conclusion
조언하다	To give advice
양보하다	To make concessions
배려하다	To be considerate
삼국 시대	Three kingdoms period
통치 이념	A governing ideology
시부모	One's in-laws
시댁 식구	The in-laws
