방학	School holiday
반갑다	To be pleased
휴가	Work holiday
기간	Period of time
부모님	Parents
고향	Hometown
다녀오다	To return for a visit
예약하다	To make a reservation
동안	During
계속	Continuously
자주	Frequently
살이 찌다	To gain weight
너무	Too much
여행	Travel
휴일	Public holiday
쇼핑하다	To shop
구경하다	To look around
살이 빠지다	To lose weight
지각하다	To be late
결석하다	To be absent
시험을 보다	To take test
성적표를 받다	To receive a grade paper
성적이 좋다	To have good marks
성적이 나쁘다	To have bad marks
오랫동안	For a long time
잠깐	For a short time
설날	New year
명절	Big holidays
한복을 입다	To wear Korean traditional dress
세배를 하다	To perform new year bow
세배를 드리다	To perform new year bow (hon)
세뱃돈을 받다	To receive New Year's cash
떡국을 먹다	To eat Rice cake soup
