열다	To open
나다	To produce
콧물	Runny nose
나오다	To come to
기침	Cough
심하다	To be severe or harsh
독감	Flu
하루	One day
후	After
졸리다	To become drowsy
중에서	Among
잠이 오다	To become sleepy
(열이) 재다	To take someone's temperature
(주사를) 맞다	To receive an injection
주사	Injection
치료	Treatment
청진기	A stethoscope
병원	Hospital
배탈	Stomach ache
배탈이 나다	To have a stomach ache
기침이 나다	To have a cough
부러지다	To break, fracture
접수하다	To receive application
진찰(을) 하다	To give an examination
진찰(을) 받다	To receive examination
약국	Pharmacy
처방전	Prescription
약사	Pharmacist
식전	Before food
식후	After food
졸다	To doze off
이틀	2 days
사흘	3 days
나훌	4 days
환절기	Change of the seasons
