얌전하다	To be quiet
활동적이다	To be active
꼼꼼하다	To be meticulous
덜렁댄다	To be clumsy
사교적이다	To be a good mixer
낯을 가린다	To be shy of strangers
조용하다	To be quiet 2
활발하다	To be vigorous
외향적이다	To be outgoing
내성적이다	To be introverted
적극적이다	To be enthusiastic
소극적이다	To be passive
원만하다	To be easy going
모나다	To be hard to get on with
현실적이다	To be practical
낭만적이다	To be romantic
느긋하다	To be carefree
끈기 있다	To have tenacity, perserverance
싫증을 쉽게 낸다	To be easily bored
가만히	Quietly
채소	Vegetable
치약	Toothpaste
실용적	Practical
급하다	To be quick
우정	Friendship
정	Affection or attention
대인 관계	Personal Relationships
손을 흔들다	To wave
긍정적이다	To be positive
부정적이다	To be negative
차분하다	To be calm or relaxed
산만하다	To be distracted
점잖다	To be gentle (masculine)
애교를 떨다	To turn on the charm
애교를 부리다	To act charmingly
이기적이다	To be selfish
털털하다	To be easy going 2
까다롭다	To be picky
영향을 받다	To be influenced
영향을 주다	To influence
고집이 세다	To be stubborn
황소 고집이다	To be as stubborn as a maule
대회에 참가하다	To enter a contest
계기	Motive
가만히 있다	To stay still
열정적이다	To be passionate
책임감이 강하다	To have a strong sense of responsibility
소심하다	To be timid
음식을 가리다	To be picky about food
보수적이다	To be conservative
개방적이다	To be open
욕심이 많다	To be greedy
욕심을 내다	To make someone greedy
욕심을 부리다	To be greedy 2
우유부단하다	To be indecisive
감정적이다	To be emotional
이성적이다	To be rational
영향을 끼치다	To influence 2
영향을 미치다	To have an influence
봉어빵이다	To be the spitting image of someone
봉어빵 같다	To be the spitting image of someone 2
우수상을 수상하다	To be awarded a runner up prize
수상경력	Award
한계	Limit
성별	Gender
동양인	Asian
서양인	Western
혈액형	Blood type
조건	Condition, term
외동딸	Only daughter
외동아들	Only son
고민	Concern
변덕스럽다	To be fickle
독립심	Independence
여우 같다	Like a fox
곰 같다	Like a bear
작은 고추가 맵다	To be small but powerful (proverb)
장남	Eldest son
장녀	Eldest daughter
장래	Future
희망	Hope
포기하다	To give up
영향	Impact
습관	Habit
용서하다	To forgive
갚다	To payback
선약	Previous engagement
증진하다	To promote
희생	Sacrifice
봉사	Service
극본 쓰기	To write a play
대본	Script
동호회	Club
국어국문학과	Department of Korean culture and literature
바람둥이	Playboy
보조개	Dimple
결식하다	To go without a meal
열매	Fruit
귀사	Your esteemed company
귀(학)교	Your esteemed school
입대	Enlistment
수상	Award receiver
시상	Award giver
상	Prize
퇴직	Retirement
퇴직금	Retirement fund
기혼	Married
미혼	Single
결혼	Married 2
이혼	Divorced
재혼	Remarried
삼혼	Third time married
삼남매	Three children
차남	Second son
차녀	Second daughter
무남독녀	Only daughter
쌍둥이	Twins
이란성	Fraternal twins
예민하다	To be sensitive
민감하다	To be sensitive 2
할퀴다	To scratch
존경하다	To respect
발명가	Inventor
정치인	Politician
대통령	President
연예인	Celebrity
업적	Achievement
명언	Famous saying
자서전	Autobiography
역사적	Historical
예술가	Artist
대중들	Public
포기하다	To give up
국민	The public 2
불구하다	To disregard, not be hindered
금	Gold
평가하다	To evaluate
배려하다	To be considerate
동아리	Society
매력이	Charm
외모	Appearance
경력	Career
흥미	Interest
특징	Characteristics
애완동물	Pet
주인	Owner
신경	Nerve
아깝다	What a waste, shame
가입하다	To join
활동	Activity
적응하다	To adjust
무척	Exceedingly
관리하다	To supervise
우수상	Diploma of merit
수상하다	To be awarded
입사하다	To join a company
웹디자인	Web Design
참가하다	To participate
능력	Ability
발휘	Display, exhibit
정년퇴임	Retire from job
가족 관계	Family relations
인정하다	To admit
분명하다	To be obvious
연구	Research
스스로	By oneself
반면에	On the other hand
경향	Tendency
감성적이다	To be emotional 2
